# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Scerevisiae_S288C.fasta
2	2	1	PDE_07610	YOR378W
2	2	1	PDE_04610	YAL015C
2	2	1	PDE_04462	YOR386W
2	2	1	PDE_01080	YOR388C
2	2	1	PDE_03196	YPL001W
2	2	1	PDE_05677	YPL002C
2	2	1	PDE_03266	YPL006W
2	2	1	PDE_01516	YPL008W
2	2	1	PDE_04331	YPL009C
2	2	1	PDE_04330	YPL010W
2	2	1	PDE_03171	YPL012W
2	2	1	PDE_09618	YPL013C
2	2	1	PDE_03593	YPL015C
2	2	1	PDE_03387	YPL022W
2	2	1	PDE_09502	YPL023C
2	2	1	PDE_00979	YPL028W
2	2	1	PDE_07307	YPL029W
2	2	1	PDE_03402	YPL030W
2	2	1	PDE_09155	YPL031C
2	2	1	PDE_03431	YPL037C
2	2	1	PDE_05987	YPL040C
2	2	1	PDE_02044	YPL042C
2	2	1	PDE_09042	YPL043W
2	2	1	PDE_07316	YPL045W
2	2	1	PDE_07908	YPL046C
2	2	1	PDE_04644	YPL050C
2	2	1	PDE_00045	YPL051W
2	2	1	PDE_09078	YPL059W
2	2	1	PDE_05296	YPL063W
2	2	1	PDE_00391	YPL065W
2	2	1	PDE_05333	YPL067C
2	2	1	PDE_00928	YAL012W
2	2	1	PDE_06464	YPL078C
2	2	1	PDE_02725	YPL082C
2	2	1	PDE_03164	YPL084W
2	2	1	PDE_09281	YPL086C
2	2	1	PDE_08512	YPL087W
2	2	1	PDE_08445	YPL088W
2	2	1	PDE_00554	YPL091W
2	2	1	PDE_04529	YPL092W
2	2	1	PDE_03136	YPL093W
2	2	1	PDE_03251	YPL094C
2	2	1	PDE_05221	YPL096W
2	2	1	PDE_05593	YPL097W
2	2	1	PDE_05402	YPL098C
2	2	1	PDE_07571	YPL101W
2	2	1	PDE_05069	YPL103C
2	2	1	PDE_05582	YPL104W
2	2	1	PDE_05780	YPL109C
2	2	1	PDE_07543	YPL110C
2	2	1	PDE_04772	YPL111W
2	2	1	PDE_07982	YPL117C
2	2	1	PDE_06489	YPL120W
2	2	1	PDE_05747	YPL122C
2	2	1	PDE_04893	YPL123C
2	2	1	PDE_02799	YPL125W
2	2	1	PDE_07457	YPL129W
2	2	1	PDE_00374	YPL131W
2	2	1	PDE_03223	YPL132W
2	2	1	PDE_06926	YPL146C
2	2	1	PDE_02925	YPL147W
2	2	1	PDE_05449	YPL149W
2	2	1	PDE_07224	YPL151C
2	2	1	PDE_00173	YPL152W
2	2	1	PDE_04768	YPL154C
2	2	1	PDE_09022	YPL157W
2	2	1	PDE_08219	YPL160W
2	2	1	PDE_06161	YPL162C
2	2	1	PDE_01822	YPL167C
2	2	1	PDE_02968	YPL169C
2	2	1	PDE_04724	YPL170W
2	2	1	PDE_05581	YPL172C
2	2	1	PDE_00047	YPL175W
2	2	1	PDE_04203	YPL178W
2	2	1	PDE_05228	YPL179W
2	2	1	PDE_05607	YPL183W-A
2	2	1	PDE_04245	YPL188W
2	2	1	PDE_06254	YPL195W
2	2	1	PDE_01887	YPL196W
2	2	1	PDE_00148	YPL199C
2	2	1	PDE_05395	YPL204W
2	2	1	PDE_06080	YPL206C
2	2	1	PDE_07952	YPL207W
2	2	1	PDE_04037	YPL209C
2	2	1	PDE_07827	YPL211W
2	2	1	PDE_04178	YPL212C
2	2	1	PDE_07603	YPL213W
2	2	1	PDE_04361	YPL214C
2	2	1	PDE_08643	YPL217C
2	2	1	PDE_02951	YPL218W
2	2	1	PDE_02351	YPL222W
2	2	1	PDE_09157	YPL224C
2	2	1	PDE_05518	YPL225W
2	2	1	PDE_03486	YPL226W
2	2	1	PDE_09604	YPL227C
2	2	1	PDE_01451	YPL231W
2	2	1	PDE_09814	YPL234C
2	2	1	PDE_04569	YPL235W
2	2	1	PDE_06298	YPL236C
2	2	1	PDE_01908	YPL237W
2	2	1	PDE_02781	YPL244C
2	2	1	PDE_05540	YPL247C
2	2	1	PDE_01826	YPL248C
2	2	1	PDE_06723	YPL249C
2	2	1	PDE_09546	YPL252C
2	2	1	PDE_09825	YPL259C
2	2	1	PDE_02591	YPL260W
2	2	1	PDE_03394	YPL262W
2	2	1	PDE_08838	YPL263C
2	2	1	PDE_04432	YPL265W
2	2	1	PDE_06193	YPL266W
2	2	1	PDE_00157	YPL268W
2	2	1	PDE_07756	YPL279C
2	2	1	PDE_03501	YPR002W
2	2	1	PDE_05125	YPR003C
2	2	1	PDE_09222	YPR004C
2	2	1	PDE_03451	YPR006C
2	2	1	PDE_06994	YPR010C
2	2	1	PDE_04059	YPR011C
2	2	1	PDE_02254	YPR016C
2	2	1	PDE_04341	YPR019W
2	2	1	PDE_00397	YPR020W
2	2	1	PDE_06719	YPR023C
2	2	1	PDE_08455	YPR024W
2	2	1	PDE_09705	YPR025C
2	2	1	PDE_01403	YPR026W
2	2	1	PDE_09754	YPR028W
2	2	1	PDE_02701	YPR029C
2	2	1	PDE_08360	YPR033C
2	2	1	PDE_08346	YPR035W
2	2	1	PDE_00590	YPR037C
2	2	1	PDE_04038	YPR040W
2	2	1	PDE_04360	YPR041W
2	2	1	PDE_05704	YPR045C
2	2	1	PDE_08712	YPR047W
2	2	1	PDE_09734	YPR048W
2	2	1	PDE_04675	YPR051W
2	2	1	PDE_07540	YPR056W
2	2	1	PDE_02645	YPR058W
2	2	1	PDE_07385	YPR060C
2	2	1	PDE_02974	YPR062W
2	2	1	PDE_01604	YPR063C
2	2	1	PDE_08368	YPR066W
2	2	1	PDE_03801	YPR067W
2	2	1	PDE_00192	YPR069C
2	2	1	PDE_01709	YPR072W
2	2	1	PDE_01858	YPR073C
2	2	1	PDE_00194	YPR074C
2	2	1	PDE_02742	YPR079W
2	2	1	PDE_04917	YPR082C
2	2	1	PDE_04908	YPR086W
2	2	1	PDE_09544	YPR088C
2	2	1	PDE_01615	YPR091C
2	2	1	PDE_07849	YPR094W
2	2	1	PDE_01985	YPR097W
2	2	1	PDE_05388	YPR098C
2	2	1	PDE_07326	YPR100W
2	2	1	PDE_06997	YPR103W
2	2	1	PDE_03054	YPR107C
2	2	1	PDE_08871	YPR108W
2	2	1	PDE_08367	YPR110C
2	2	1	PDE_02934	YPR112C
2	2	1	PDE_00529	YPR113W
2	2	1	PDE_04401	YPR118W
2	2	1	PDE_01955	YPR125W
2	2	1	PDE_07148	YPR127W
2	2	1	PDE_03000	YPR128C
2	2	1	PDE_02959	YPR131C
2	2	1	PDE_03673	YPR137W
2	2	1	PDE_08401	YPR140W
2	2	1	PDE_07368	YPR141C
2	2	1	PDE_06465	YPR144C
2	2	1	PDE_09655	YPR147C
2	2	1	PDE_04667	YPR149W
2	2	1	PDE_04170	YPR153W
2	2	1	PDE_09880	YPR156C
2	2	1	PDE_07329	YAL010C
2	2	1	PDE_03181	YPR159W
2	2	1	PDE_00122	YPR160W
2	2	1	PDE_02323	YPR161C
2	2	1	PDE_02569	YPR165W
2	2	1	PDE_04939	YPR166C
2	2	1	PDE_02003	YPR167C
2	2	1	PDE_02714	YPR168W
2	2	1	PDE_09280	YPR170W-B
2	2	1	PDE_01837	YPR172W
2	2	1	PDE_04959	YPR173C
2	2	1	PDE_06220	YPR175W
2	2	1	PDE_00820	YPR176C
2	2	1	PDE_06288	YPR178W
2	2	1	PDE_02244	YPR180W
2	2	1	PDE_03004	YPR181C
2	2	1	PDE_07652	YPR182W
2	2	1	PDE_04737	YPR183W
2	2	1	PDE_04535	YPR184W
2	2	1	PDE_02961	YPR187W
2	2	1	PDE_09131	YPR191W
2	2	1	PDE_01343	YPR192W
2	2	1	PDE_09018	YPR198W
2	2	1	PDE_06010	YMR217W
2	6	0.161	PDE_03140	YDR345C,YFL011W,YHR094C,YHR096C,YMR011W
2	5	0.164	PDE_08599,PDE_05544	YAR071W,YHR215W,YBR093C
2	2	1	PDE_03429	YBR092C
2	6	0.165	PDE_00197	YDR342C,YDR343C,YOL156W,YHR092C,YJL219W
2	2	1	PDE_06025	YLR081W
1	1	0	PDE_00087	*
1	1	0	PDE_09744	*
1	1	0	PDE_05048	*
1	1	0	PDE_09458	*
1	1	0	PDE_02913	*
1	1	0	PDE_07665	*
1	1	0	PDE_08904	*
1	1	0	PDE_08034	*
1	1	0	PDE_03455	*
1	1	0	PDE_09362	*
1	1	0	PDE_03926	*
1	1	0	PDE_10007	*
1	1	0	PDE_04196	*
1	1	0	PDE_08879	*
1	1	0	PDE_09984	*
1	1	0	PDE_00579	*
1	1	0	PDE_03908	*
1	1	0	PDE_04808	*
1	1	0	PDE_06508	*
1	1	0	PDE_03623	*
1	1	0	PDE_09121	*
1	1	0	PDE_06122	*
1	1	0	PDE_03620	*
1	1	0	PDE_05917	*
1	1	0	PDE_05369	*
1	1	0	PDE_05159	*
1	1	0	PDE_09494	*
1	1	0	PDE_00135	*
1	1	0	PDE_07903	*
1	1	0	PDE_07893	*
1	1	0	PDE_00782	*
1	1	0	PDE_04311	*
1	1	0	PDE_06279	*
1	1	0	PDE_01655	*
1	1	0	PDE_03416	*
1	1	0	PDE_05445	*
1	1	0	PDE_00239	*
1	1	0	PDE_02464	*
1	1	0	PDE_02646	*
1	1	0	PDE_06694	*
1	1	0	PDE_05186	*
1	1	0	PDE_06561	*
1	1	0	PDE_01172	*
1	1	0	PDE_02774	*
1	1	0	PDE_02364	*
1	1	0	PDE_08393	*
1	1	0	PDE_02848	*
1	1	0	PDE_03956	*
1	1	0	PDE_01273	*
1	1	0	PDE_06453	*
1	1	0	PDE_00857	*
1	1	0	PDE_07938	*
1	1	0	PDE_00949	*
1	1	0	PDE_00944	*
1	1	0	PDE_09978	*
1	1	0	PDE_04459	*
1	1	0	PDE_01201	*
1	1	0	PDE_03258	*
1	1	0	PDE_09465	*
1	1	0	PDE_07361	*
1	1	0	PDE_02709	*
1	1	0	PDE_07995	*
1	1	0	PDE_08821	*
1	1	0	PDE_03289	*
1	1	0	PDE_06771	*
1	1	0	PDE_02406	*
1	1	0	PDE_05051	*
1	1	0	PDE_07064	*
1	1	0	PDE_02463	*
1	1	0	PDE_00443	*
1	1	0	PDE_09477	*
1	1	0	PDE_08738	*
1	1	0	PDE_02678	*
1	1	0	PDE_03296	*
1	1	0	PDE_05024	*
1	1	0	PDE_06822	*
1	1	0	PDE_06887	*
1	1	0	PDE_02581	*
1	1	0	PDE_03910	*
1	1	0	PDE_02760	*
1	1	0	PDE_04543	*
1	1	0	PDE_07339	*
1	1	0	PDE_04025	*
1	1	0	PDE_02392	*
1	1	0	PDE_05099	*
1	1	0	PDE_04470	*
1	1	0	PDE_06630	*
1	1	0	PDE_07043	*
1	1	0	PDE_09379	*
1	1	0	PDE_10004	*
1	1	0	PDE_00030	*
1	1	0	PDE_00429	*
1	1	0	PDE_02702	*
1	1	0	PDE_03443	*
1	1	0	PDE_01776	*
1	1	0	PDE_06671	*
1	1	0	PDE_05960	*
1	1	0	PDE_09548	*
1	1	0	PDE_00168	*
1	1	0	PDE_07648	*
1	1	0	PDE_00479	*
1	1	0	PDE_01860	*
1	1	0	PDE_09743	*
1	1	0	PDE_06032	*
1	1	0	PDE_02763	*
1	1	0	PDE_07373	*
1	1	0	PDE_01930	*
1	1	0	PDE_06601	*
1	1	0	PDE_03011	*
1	1	0	PDE_07423	*
1	1	0	PDE_06615	*
1	1	0	PDE_05964	*
1	1	0	PDE_06929	*
1	1	0	PDE_03706	*
1	1	0	PDE_07177	*
1	1	0	PDE_02229	*
1	1	0	PDE_06154	*
1	1	0	PDE_05935	*
1	1	0	PDE_05692	*
1	1	0	PDE_04015	*
1	1	0	PDE_06327	*
1	1	0	PDE_05286	*
1	1	0	PDE_01015	*
1	1	0	PDE_07163	*
1	1	0	PDE_03582	*
1	1	0	PDE_09275	*
1	1	0	PDE_02460	*
1	1	0	PDE_07103	*
1	1	0	PDE_00067	*
1	1	0	PDE_01572	*
1	1	0	PDE_00758	*
1	1	0	PDE_01200	*
1	1	0	PDE_07099	*
1	1	0	PDE_03312	*
1	1	0	PDE_09969	*
1	1	0	PDE_01717	*
1	1	0	PDE_03824	*
1	1	0	PDE_09824	*
1	1	0	PDE_04249	*
1	1	0	PDE_09742	*
1	1	0	PDE_09731	*
1	1	0	PDE_08115	*
1	1	0	PDE_09842	*
1	1	0	PDE_07005	*
1	1	0	PDE_09043	*
1	1	0	PDE_08068	*
1	1	0	PDE_02752	*
1	1	0	PDE_01716	*
1	1	0	PDE_04039	*
1	1	0	PDE_02945	*
1	1	0	PDE_01745	*
1	1	0	PDE_05583	*
1	1	0	PDE_09940	*
1	1	0	PDE_05755	*
1	1	0	PDE_02213	*
1	1	0	PDE_04656	*
1	1	0	PDE_01068	*
1	1	0	PDE_02194	*
1	1	0	PDE_06330	*
1	1	0	PDE_03388	*
1	1	0	PDE_06528	*
1	1	0	PDE_04384	*
1	1	0	PDE_06280	*
1	1	0	PDE_06153	*
1	1	0	PDE_08746	*
1	1	0	PDE_01379	*
1	1	0	PDE_09192	*
1	1	0	PDE_01493	*
1	1	0	PDE_08708	*
1	1	0	PDE_07240	*
1	1	0	PDE_07508	*
1	1	0	PDE_07704	*
1	1	0	PDE_09201	*
1	1	0	PDE_09376	*
1	1	0	PDE_06087	*
1	1	0	PDE_04115	*
1	1	0	PDE_09347	*
1	1	0	PDE_09857	*
1	1	0	PDE_02883	*
1	1	0	PDE_03991	*
1	1	0	PDE_04562	*
1	1	0	PDE_03100	*
1	1	0	PDE_07935	*
1	1	0	PDE_06130	*
1	1	0	PDE_08135	*
1	1	0	PDE_00802	*
1	1	0	PDE_06189	*
1	1	0	PDE_00693	*
1	1	0	PDE_04210	*
1	1	0	PDE_01619	*
1	1	0	PDE_06910	*
1	1	0	PDE_08970	*
1	1	0	PDE_00803	*
1	1	0	PDE_05515	*
1	1	0	PDE_08888	*
1	1	0	PDE_05902	*
1	1	0	PDE_06745	*
1	1	0	PDE_01442	*
1	1	0	PDE_07518	*
1	1	0	PDE_08253	*
1	1	0	PDE_03654	*
1	1	0	PDE_09724	*
1	1	0	PDE_05539	*
1	1	0	PDE_03461	*
1	1	0	PDE_00226	*
1	1	0	PDE_08570	*
1	1	0	PDE_06038	*
1	1	0	PDE_05320	*
1	1	0	PDE_02235	*
1	1	0	PDE_00141	*
1	1	0	PDE_02459	*
1	1	0	PDE_05732	*
1	1	0	PDE_06056	*
1	1	0	PDE_06708	*
1	1	0	PDE_08779	*
1	1	0	PDE_08948	*
1	1	0	PDE_04797	*
1	1	0	PDE_05444	*
1	1	0	PDE_09837	*
1	1	0	PDE_04785	*
1	1	0	PDE_08868	*
1	1	0	PDE_04027	*
1	1	0	PDE_00955	*
1	1	0	PDE_07045	*
1	1	0	PDE_08372	*
1	1	0	PDE_09715	*
1	1	0	PDE_01651	*
1	1	0	PDE_05689	*
1	1	0	PDE_06962	*
1	1	0	PDE_00172	*
1	1	0	PDE_00608	*
1	1	0	PDE_08177	*
1	1	0	PDE_02015	*
1	1	0	PDE_03424	*
1	1	0	PDE_06742	*
1	1	0	PDE_00099	*
1	1	0	PDE_00310	*
1	1	0	PDE_04437	*
1	1	0	PDE_07839	*
1	1	0	PDE_01983	*
1	1	0	PDE_05701	*
1	1	0	PDE_01842	*
1	1	0	PDE_05306	*
1	1	0	PDE_03379	*
1	1	0	PDE_02273	*
1	1	0	PDE_03602	*
1	1	0	PDE_08969	*
1	1	0	PDE_03983	*
1	1	0	PDE_09166	*
1	1	0	PDE_07976	*
1	1	0	PDE_05850	*
1	1	0	PDE_06587	*
1	1	0	PDE_04147	*
1	1	0	PDE_08575	*
1	1	0	PDE_09777	*
1	1	0	PDE_07959	*
1	1	0	PDE_00570	*
1	1	0	PDE_00714	*
1	1	0	PDE_03208	*
1	1	0	PDE_08406	*
1	1	0	PDE_07837	*
1	1	0	PDE_01929	*
1	1	0	PDE_07152	*
1	1	0	PDE_02338	*
1	1	0	PDE_06256	*
1	1	0	PDE_06351	*
1	1	0	PDE_02822	*
1	1	0	PDE_02928	*
1	1	0	PDE_07098	*
1	1	0	PDE_00102	*
1	1	0	PDE_05685	*
1	1	0	PDE_06750	*
1	1	0	PDE_09990	*
1	1	0	PDE_01569	*
1	1	0	PDE_07916	*
1	1	0	PDE_08732	*
1	1	0	PDE_09204	*
1	1	0	PDE_04544	*
1	1	0	PDE_01913	*
1	1	0	PDE_03130	*
1	1	0	PDE_02178	*
1	1	0	PDE_02288	*
1	1	0	PDE_01713	*
1	1	0	PDE_01195	*
1	1	0	PDE_03954	*
1	1	0	PDE_04153	*
1	1	0	PDE_06434	*
1	1	0	PDE_04379	*
1	1	0	PDE_01573	*
1	1	0	PDE_01754	*
1	1	0	PDE_09246	*
1	1	0	PDE_05452	*
1	1	0	PDE_01931	*
1	1	0	PDE_04208	*
1	1	0	PDE_03762	*
1	1	0	PDE_07722	*
1	1	0	PDE_09513	*
1	1	0	PDE_03562	*
1	1	0	PDE_04243	*
1	1	0	PDE_00208	*
1	1	0	PDE_05919	*
1	1	0	PDE_08700	*
1	1	0	PDE_04654	*
1	1	0	PDE_05415	*
1	1	0	PDE_06299	*
1	1	0	PDE_00528	*
1	1	0	PDE_09671	*
1	1	0	PDE_00001	*
1	1	0	PDE_04516	*
1	1	0	PDE_08168	*
1	1	0	PDE_08990	*
1	1	0	PDE_07267	*
1	1	0	PDE_02697	*
1	1	0	PDE_00468	*
1	1	0	PDE_09661	*
1	1	0	PDE_02402	*
1	1	0	PDE_06204	*
1	1	0	PDE_00025	*
1	1	0	PDE_02111	*
1	1	0	PDE_01465	*
1	1	0	PDE_04342	*
1	1	0	PDE_03028	*
1	1	0	PDE_09137	*
1	1	0	PDE_00363	*
1	1	0	PDE_01112	*
1	1	0	PDE_03262	*
1	1	0	PDE_07162	*
1	1	0	PDE_08765	*
1	1	0	PDE_01585	*
1	1	0	PDE_05569	*
1	1	0	PDE_01882	*
1	1	0	PDE_02137	*
1	1	0	PDE_09679	*
1	1	0	PDE_09793	*
1	1	0	PDE_06139	*
1	1	0	PDE_02161	*
1	1	0	PDE_02700	*
1	1	0	PDE_06050	*
1	1	0	PDE_02472	*
1	1	0	PDE_06109	*
1	1	0	PDE_00686	*
1	1	0	PDE_04265	*
1	1	0	PDE_00236	*
1	1	0	PDE_04350	*
1	1	0	PDE_09420	*
1	1	0	PDE_09605	*
1	1	0	PDE_02811	*
1	1	0	PDE_00809	*
1	1	0	PDE_07251	*
1	1	0	PDE_07867	*
1	1	0	PDE_03600	*
1	1	0	PDE_05948	*
1	1	0	PDE_02435	*
1	1	0	PDE_03638	*
1	1	0	PDE_05589	*
1	1	0	PDE_04854	*
1	1	0	PDE_08751	*
1	1	0	PDE_00513	*
1	1	0	PDE_06646	*
1	1	0	PDE_02657	*
1	1	0	PDE_03364	*
1	1	0	PDE_09371	*
1	1	0	PDE_00682	*
1	1	0	PDE_00184	*
1	1	0	PDE_01338	*
1	1	0	PDE_04120	*
1	1	0	PDE_00339	*
1	1	0	PDE_02695	*
1	1	0	PDE_01595	*
1	1	0	PDE_04195	*
1	1	0	PDE_02607	*
1	1	0	PDE_08545	*
1	1	0	PDE_03412	*
1	1	0	PDE_05374	*
1	1	0	PDE_08848	*
1	1	0	PDE_09196	*
1	1	0	PDE_02193	*
1	1	0	PDE_01427	*
1	1	0	PDE_03382	*
1	1	0	PDE_00811	*
1	1	0	PDE_09884	*
1	1	0	PDE_09172	*
1	1	0	PDE_02380	*
1	1	0	PDE_01780	*
1	1	0	PDE_03492	*
1	1	0	PDE_04760	*
1	1	0	PDE_08312	*
1	1	0	PDE_04228	*
1	1	0	PDE_08484	*
1	1	0	PDE_08506	*
1	1	0	PDE_08032	*
1	1	0	PDE_01213	*
1	1	0	PDE_08486	*
1	1	0	PDE_05564	*
1	1	0	PDE_06196	*
1	1	0	PDE_00506	*
1	1	0	PDE_02029	*
1	1	0	PDE_02962	*
1	1	0	PDE_08771	*
1	1	0	PDE_03210	*
1	1	0	PDE_01731	*
1	1	0	PDE_07176	*
1	1	0	PDE_08629	*
1	1	0	PDE_07640	*
1	1	0	PDE_07953	*
1	1	0	PDE_00876	*
1	1	0	PDE_08612	*
1	1	0	PDE_08920	*
1	1	0	PDE_09181	*
1	1	0	PDE_04081	*
1	1	0	PDE_04994	*
1	1	0	PDE_03466	*
1	1	0	PDE_00384	*
1	1	0	PDE_01581	*
1	1	0	PDE_08690	*
1	1	0	PDE_02119	*
1	1	0	PDE_06972	*
1	1	0	PDE_04751	*
1	1	0	PDE_04896	*
1	1	0	PDE_03128	*
1	1	0	PDE_04335	*
1	1	0	PDE_07434	*
1	1	0	PDE_04876	*
1	1	0	PDE_03876	*
1	1	0	PDE_08193	*
1	1	0	PDE_01840	*
1	1	0	PDE_05931	*
1	1	0	PDE_08385	*
1	1	0	PDE_02999	*
1	1	0	PDE_09154	*
1	1	0	PDE_08226	*
1	1	0	PDE_02130	*
1	1	0	PDE_09390	*
1	1	0	PDE_05530	*
1	1	0	PDE_06331	*
1	1	0	PDE_01566	*
1	1	0	PDE_08460	*
1	1	0	PDE_06345	*
1	1	0	PDE_06148	*
1	1	0	PDE_07966	*
1	1	0	PDE_02055	*
1	1	0	PDE_00797	*
1	1	0	PDE_06160	*
1	1	0	PDE_07248	*
1	1	0	PDE_09123	*
1	1	0	PDE_01697	*
1	1	0	PDE_07996	*
1	1	0	PDE_08598	*
1	1	0	PDE_04804	*
1	1	0	PDE_06044	*
1	1	0	PDE_01070	*
1	1	0	PDE_04392	*
1	1	0	PDE_05111	*
1	1	0	PDE_07601	*
1	1	0	PDE_10000	*
1	1	0	PDE_00932	*
1	1	0	PDE_07165	*
1	1	0	PDE_08647	*
1	1	0	PDE_07899	*
1	1	0	PDE_01315	*
1	1	0	PDE_01874	*
1	1	0	PDE_01529	*
1	1	0	PDE_10010	*
1	1	0	PDE_00549	*
1	1	0	PDE_01432	*
1	1	0	PDE_07268	*
1	1	0	PDE_04016	*
1	1	0	PDE_05277	*
1	1	0	PDE_02890	*
1	1	0	PDE_02410	*
1	1	0	PDE_04837	*
1	1	0	PDE_01105	*
1	1	0	PDE_09947	*
1	1	0	PDE_00620	*
1	1	0	PDE_01418	*
1	1	0	PDE_01654	*
1	1	0	PDE_02128	*
1	1	0	PDE_05616	*
1	1	0	PDE_01393	*
1	1	0	PDE_04614	*
1	1	0	PDE_06253	*
1	1	0	PDE_02344	*
1	1	0	PDE_08816	*
1	1	0	PDE_09350	*
1	1	0	PDE_02389	*
1	1	0	PDE_02414	*
1	1	0	PDE_06375	*
1	1	0	PDE_00498	*
1	1	0	PDE_09384	*
1	1	0	PDE_09768	*
1	1	0	PDE_02092	*
1	1	0	PDE_06653	*
1	1	0	PDE_04755	*
1	1	0	PDE_00783	*
1	1	0	PDE_04861	*
1	1	0	PDE_00600	*
1	1	0	PDE_05927	*
1	1	0	PDE_06683	*
1	1	0	PDE_02255	*
1	1	0	PDE_06031	*
1	1	0	PDE_05975	*
1	1	0	PDE_08083	*
1	1	0	PDE_02808	*
1	1	0	PDE_01433	*
1	1	0	PDE_02689	*
1	1	0	PDE_05630	*
1	1	0	PDE_04950	*
1	1	0	PDE_07489	*
1	1	0	PDE_02247	*
1	1	0	PDE_07464	*
1	1	0	PDE_05879	*
1	1	0	PDE_01218	*
1	1	0	PDE_05885	*
1	1	0	PDE_07594	*
1	1	0	PDE_00544	*
1	1	0	PDE_01665	*
1	1	0	PDE_01075	*
1	1	0	PDE_10008	*
1	1	0	PDE_08329	*
1	1	0	PDE_04499	*
1	1	0	PDE_02136	*
1	1	0	PDE_02033	*
1	1	0	PDE_06034	*
1	1	0	PDE_01634	*
1	1	0	PDE_02729	*
1	1	0	PDE_09670	*
1	1	0	PDE_05326	*
1	1	0	PDE_09585	*
1	1	0	PDE_01016	*
1	1	0	PDE_02537	*
1	1	0	PDE_02026	*
1	1	0	PDE_01786	*
1	1	0	PDE_01506	*
1	1	0	PDE_00349	*
1	1	0	PDE_00500	*
1	1	0	PDE_00507	*
1	1	0	PDE_04884	*
1	1	0	PDE_07067	*
1	1	0	PDE_04438	*
1	1	0	PDE_02824	*
1	1	0	PDE_00880	*
1	1	0	PDE_00389	*
1	1	0	PDE_06435	*
1	1	0	PDE_00369	*
1	1	0	PDE_04457	*
1	1	0	PDE_04778	*
1	1	0	PDE_04633	*
1	1	0	PDE_01074	*
1	1	0	PDE_03895	*
1	1	0	PDE_02873	*
1	1	0	PDE_03874	*
1	1	0	PDE_00975	*
1	1	0	PDE_06348	*
1	1	0	PDE_04252	*
1	1	0	PDE_03696	*
1	1	0	PDE_04187	*
1	1	0	PDE_04230	*
1	1	0	PDE_02123	*
1	1	0	PDE_02196	*
1	1	0	PDE_00081	*
1	1	0	PDE_06396	*
1	1	0	PDE_01770	*
1	1	0	PDE_06023	*
1	1	0	PDE_00224	*
1	1	0	PDE_07238	*
1	1	0	PDE_08716	*
1	1	0	PDE_01599	*
1	1	0	PDE_01407	*
1	1	0	PDE_07783	*
1	1	0	PDE_09714	*
1	1	0	PDE_01699	*
1	1	0	PDE_01689	*
1	1	0	PDE_05251	*
1	1	0	PDE_06340	*
1	1	0	PDE_06687	*
1	1	0	PDE_02172	*
1	1	0	PDE_04447	*
1	1	0	PDE_07130	*
1	1	0	PDE_09026	*
1	1	0	PDE_09198	*
1	1	0	PDE_04168	*
1	1	0	PDE_01367	*
1	1	0	PDE_08630	*
1	1	0	PDE_03559	*
1	1	0	PDE_05709	*
1	1	0	PDE_02542	*
1	1	0	PDE_09769	*
1	1	0	PDE_09761	*
1	1	0	PDE_01482	*
1	1	0	PDE_09862	*
1	1	0	PDE_01675	*
1	1	0	PDE_00015	*
1	1	0	PDE_00077	*
1	1	0	PDE_04642	*
1	1	0	PDE_01185	*
1	1	0	PDE_01480	*
1	1	0	PDE_09237	*
1	1	0	PDE_03549	*
1	1	0	PDE_07463	*
1	1	0	PDE_09791	*
1	1	0	PDE_01555	*
1	1	0	PDE_07486	*
1	1	0	PDE_06573	*
1	1	0	PDE_05642	*
1	1	0	PDE_06225	*
1	1	0	PDE_08286	*
1	1	0	PDE_08941	*
1	1	0	PDE_09195	*
1	1	0	PDE_01307	*
1	1	0	PDE_01559	*
1	1	0	PDE_02017	*
1	1	0	PDE_05637	*
1	1	0	PDE_07997	*
1	1	0	PDE_03268	*
1	1	0	PDE_07969	*
1	1	0	PDE_07147	*
1	1	0	PDE_05201	*
1	1	0	PDE_07741	*
1	1	0	PDE_02198	*
1	1	0	PDE_04320	*
1	1	0	PDE_07344	*
1	1	0	PDE_08192	*
1	1	0	PDE_08159	*
1	1	0	PDE_09221	*
1	1	0	PDE_09726	*
1	1	0	PDE_08240	*
1	1	0	PDE_02332	*
1	1	0	PDE_07836	*
1	1	0	PDE_01547	*
1	1	0	PDE_03432	*
1	1	0	PDE_07766	*
1	1	0	PDE_03875	*
1	1	0	PDE_08931	*
1	1	0	PDE_08018	*
1	1	0	PDE_09998	*
1	1	0	PDE_00457	*
1	1	0	PDE_09841	*
1	1	0	PDE_05966	*
1	1	0	PDE_08435	*
1	1	0	PDE_08764	*
1	1	0	PDE_09633	*
1	1	0	PDE_08943	*
1	1	0	PDE_01682	*
1	1	0	PDE_02381	*
1	1	0	PDE_06368	*
1	1	0	PDE_02823	*
1	1	0	PDE_05322	*
1	1	0	PDE_06803	*
1	1	0	PDE_02441	*
1	1	0	PDE_01240	*
1	1	0	PDE_07200	*
1	1	0	PDE_09794	*
1	1	0	PDE_09372	*
1	1	0	PDE_01335	*
1	1	0	PDE_02930	*
1	1	0	PDE_04630	*
1	1	0	PDE_08090	*
1	1	0	PDE_00187	*
1	1	0	PDE_03446	*
1	1	0	PDE_05276	*
1	1	0	PDE_03866	*
1	1	0	PDE_07691	*
1	1	0	PDE_07939	*
1	1	0	PDE_08350	*
1	1	0	PDE_04671	*
