# Species	Genes	Alg.-Conn.	Penicillium_sp_2HH.fasta	A.nidulans_FGSC_A4_v.s10-m04-r16.fasta
2	2	1	PECH_002908	AN6627
2	2	1	PECH_002909	AN6628
2	2	1	PECH_002910	AN6629
2	2	1	PECH_002911	AN6630
2	2	1	PECH_002912	AN6631
2	2	1	PECH_002913	AN2183
2	2	1	PECH_002915	AN6634
2	2	1	PECH_002916	AN6636
2	2	1	PECH_002917	AN10840
2	2	1	PECH_002918	AN10837
2	2	1	PECH_002919	AN6638
2	2	1	PECH_002920	AN6639
2	2	1	PECH_002922	AN6626
2	2	1	PECH_002923	AN6618
2	2	1	PECH_002924	AN7617
2	2	1	PECH_002925	AN6617
2	2	1	PECH_002927	AN6616
2	2	1	PECH_002928	AN6615
2	2	1	PECH_002929	AN6614
2	2	1	PECH_002930	AN2794
2	2	1	PECH_002931	AN6613
2	2	1	PECH_002932	AN6612
2	2	1	PECH_002933	AN6611
2	2	1	PECH_002935	AN6610
2	2	1	PECH_002936	AN6609
2	2	1	PECH_002938	AN6608
2	2	1	PECH_002940	AN6606
2	2	1	PECH_002941	AN10839
2	2	1	PECH_002942	AN10835
2	2	1	PECH_002943	AN6604
2	2	1	PECH_002946	AN6602
2	2	1	PECH_002947	AN6601
2	2	1	PECH_002948	AN6600
2	2	1	PECH_002949	AN6599
2	2	1	PECH_002950	AN6598
2	2	1	PECH_002952	AN6592
2	2	1	PECH_002953	AN6593
2	2	1	PECH_002954	AN10841
2	2	1	PECH_002955	AN6594
2	2	1	PECH_002956	AN6596
2	2	1	PECH_002958	AN6597
2	2	1	PECH_002959	AN6591
2	2	1	PECH_002960	AN6590
2	2	1	PECH_002961	AN6584
2	2	1	PECH_002962	AN6585
2	2	1	PECH_002963	AN6586
2	2	1	PECH_002964	AN6587
2	2	1	PECH_002967	AN6588
2	2	1	PECH_002968	AN6589
2	2	1	PECH_002970	AN9286
2	2	1	PECH_002972	AN6583
2	2	1	PECH_002973	AN6581
2	2	1	PECH_002975	AN6580
2	2	1	PECH_002976	AN6579
2	2	1	PECH_002977	AN6572
2	2	1	PECH_002979	AN6573
2	2	1	PECH_002980	AN6574
2	2	1	PECH_002981	AN6575
2	2	1	PECH_002982	AN9529
2	2	1	PECH_002983	AN9528
2	2	1	PECH_002984	AN6576
2	2	1	PECH_002985	AN6577
2	2	1	PECH_002986	AN7463
2	2	1	PECH_002987	AN7464
2	2	1	PECH_002988	AN7465
2	2	1	PECH_002989	AN7466
2	2	1	PECH_002990	AN7468
2	2	1	PECH_002991	AN7469
2	2	1	PECH_002992	AN7470
2	2	1	PECH_002993	AN7471
2	2	1	PECH_002994	AN7472
2	2	1	PECH_002996	AN6578
2	2	1	PECH_002999	AN2012
2	2	1	PECH_003000	AN2013
2	2	1	PECH_003001	AN2014
2	2	1	PECH_003002	AN7378
2	2	1	PECH_003003	AN6930
2	2	1	PECH_003006	AN2009
2	2	1	PECH_003007	AN2008
2	2	1	PECH_003008	AN2007
2	2	1	PECH_003009	AN2006
2	2	1	PECH_003011	AN2005
2	2	1	PECH_003012	AN1551
2	2	1	PECH_003014	AN3336
2	2	1	PECH_003015	AN0020
2	2	1	PECH_000064	AN8850
2	2	1	PECH_003022	AN2957
2	2	1	PECH_003023	AN3233
2	2	1	PECH_003024	AN10300
2	2	1	PECH_003025	AN7995
2	2	1	PECH_003026	AN9202
2	2	1	PECH_003034	AN7431
2	2	1	PECH_003035	AN7430
2	2	1	PECH_003036	AN7429
2	2	1	PECH_003037	AN7428
2	2	1	PECH_003038	AN10940
2	2	1	PECH_003039	AN10971
2	2	1	PECH_003040	AN7426
2	2	1	PECH_003041	AN7425
2	2	1	PECH_003042	AN7424
2	2	1	PECH_003043	AN7423
2	2	1	PECH_003044	AN7422
2	2	1	PECH_003045	AN1504
2	2	1	PECH_003046	AN1505
2	2	1	PECH_003047	AN1507
2	2	1	PECH_003049	AN1508
2	2	1	PECH_003051	AN1510
2	2	1	PECH_003052	AN1511
2	2	1	PECH_003053	AN11243
2	2	1	PECH_003054	AN10212
2	2	1	PECH_003055	AN1513
2	2	1	PECH_003057	AN1514
2	2	1	PECH_003058	AN10213
2	2	1	PECH_000062	AN8851
2	2	1	PECH_003072	AN5323
2	2	1	PECH_000061	AN11132
2	2	1	PECH_003076	AN0928
2	2	1	PECH_003078	AN0926
2	2	1	PECH_003079	AN0925
2	2	1	PECH_003080	AN0924
2	2	1	PECH_003081	AN0923
2	2	1	PECH_003082	AN0922
2	2	1	PECH_003084	AN0920
2	2	1	PECH_003085	AN0919
2	2	1	PECH_003087	AN2971
2	2	1	PECH_003088	AN2972
2	2	1	PECH_003089	AN10363
2	2	1	PECH_003090	AN10351
2	2	1	PECH_003091	AN2965
2	2	1	PECH_003092	AN2964
2	2	1	PECH_003094	AN2963
2	2	1	PECH_003095	AN5437
2	2	1	PECH_003096	AN2940
2	2	1	PECH_003097	AN2939
2	2	1	PECH_003098	AN2938
2	2	1	PECH_003099	AN2751
2	2	1	PECH_003100	AN2752
2	2	1	PECH_003101	AN4730
2	2	1	PECH_003102	AN4731
2	2	1	PECH_003103	AN4732
2	2	1	PECH_003104	AN2311
2	2	1	PECH_003105	AN10285
2	2	1	PECH_003106	AN11985
2	2	1	PECH_003108	AN10290
2	2	1	PECH_003109	AN2309
2	2	1	PECH_003110	AN2308
2	2	1	PECH_003111	AN2307
2	2	1	PECH_003112	AN2306
2	2	1	PECH_003113	AN2313
2	2	1	PECH_003114	AN2312
2	2	1	PECH_003120	AN1652
2	2	1	PECH_003121	AN11885
2	2	1	PECH_003122	AN11886
2	2	1	PECH_003123	AN1632
2	2	1	PECH_003125	AN1638
2	2	1	PECH_003126	AN1634
2	2	1	PECH_003127	AN1635
2	2	1	PECH_003128	AN1636
2	2	1	PECH_003129	AN1637
2	2	1	PECH_003130	AN1613
2	2	1	PECH_003131	AN1612
2	2	1	PECH_003132	AN6754
2	2	1	PECH_000060	AN11129
2	2	1	PECH_003136	AN1817
2	2	1	PECH_003137	AN1833
2	2	1	PECH_003138	AN3884
2	2	1	PECH_003139	AN1828
2	2	1	PECH_003140	AN10603
2	2	1	PECH_003142	AN4850
2	2	1	PECH_003144	AN4843
2	2	1	PECH_003146	AN4842
2	2	1	PECH_003149	AN6420
2	2	1	PECH_003151	AN3043
2	2	1	PECH_003152	AN3044
2	2	1	PECH_003153	AN3050
2	2	1	PECH_003154	AN11702
2	2	1	PECH_003156	AN3040
2	2	1	PECH_003157	AN3039
2	2	1	PECH_003158	AN3038
2	2	1	PECH_003159	AN3036
2	2	1	PECH_003160	AN3035
2	2	1	PECH_003161	AN11699
2	2	1	PECH_003162	AN3034
2	2	1	PECH_003163	AN3033
2	2	1	PECH_003165	AN3031
2	2	1	PECH_003166	AN3030
2	2	1	PECH_003167	AN3029
2	2	1	PECH_003169	AN3028
2	2	1	PECH_003171	AN3027
2	2	1	PECH_003172	AN3026
2	2	1	PECH_003174	AN3024
2	2	1	PECH_003175	AN3023
2	2	1	PECH_003177	AN4582
2	2	1	PECH_003178	AN4581
2	2	1	PECH_003179	AN4580
2	2	1	PECH_003180	AN4117
2	2	1	PECH_003181	AN4579
2	2	1	PECH_003182	AN4578
2	2	1	PECH_003183	AN4577
2	2	1	PECH_003184	AN8982
2	2	1	PECH_003185	AN4583
2	2	1	PECH_003186	AN4584
2	2	1	PECH_003187	AN4585
2	2	1	PECH_003190	AN4587
2	2	1	PECH_003191	AN4590
2	2	1	PECH_003192	AN11108
2	2	1	PECH_003194	AN12465
2	2	1	PECH_003196	AN9316
2	2	1	PECH_003199	AN4591
2	2	1	PECH_003200	AN4592
2	2	1	PECH_003201	AN4593
2	2	1	PECH_003202	AN4594
2	2	1	PECH_003203	AN4595
2	2	1	PECH_003204	AN4596
2	2	1	PECH_003205	AN4597
2	2	1	PECH_000059	AN11135
2	2	1	PECH_003207	AN6835
2	2	1	PECH_003208	AN11061
2	2	1	PECH_003210	AN6571
2	2	1	PECH_003211	AN5302
2	2	1	PECH_000058	AN8853
2	2	1	PECH_003217	AN9526
2	2	1	PECH_003218	AN12479
2	2	1	PECH_003219	AN4860
2	2	1	PECH_003220	AN4859
2	2	1	PECH_003221	AN4486
2	2	1	PECH_003222	AN4484
2	2	1	PECH_003223	AN4483
2	2	1	PECH_003224	AN2555
2	2	1	PECH_003226	AN4481
2	2	1	PECH_003227	AN4482
2	2	1	PECH_003229	AN6764
2	2	1	PECH_003232	AN10937
2	2	1	PECH_003235	AN10879
2	2	1	PECH_003236	AN6996
2	2	1	PECH_003238	AN10882
2	2	1	PECH_003239	AN6992
2	2	1	PECH_003240	AN6993
2	2	1	PECH_003242	AN12060
2	2	1	PECH_003243	AN5959
2	2	1	PECH_003244	AN10756
2	2	1	PECH_003245	AN5961
2	2	1	PECH_003249	AN12161
2	2	1	PECH_003250	AN5934
2	2	1	PECH_003251	AN8310
2	2	1	PECH_003252	AN5935
2	2	1	PECH_003256	AN8444
2	2	1	PECH_003259	AN12307
2	2	1	PECH_003260	AN1037
2	2	1	PECH_003261	AN1038
2	2	1	PECH_003263	AN1586
2	2	1	PECH_003264	AN8606
2	2	1	PECH_003265	AN10145
2	2	1	PECH_003269	AN8275
2	2	1	PECH_003270	AN8276
2	2	1	PECH_003272	AN7392
2	2	1	PECH_003274	AN8277
2	2	1	PECH_003275	AN8278
2	2	1	PECH_003276	AN8279
2	2	1	PECH_003277	AN8280
2	2	1	PECH_003280	AN8270
2	2	1	PECH_003281	AN9070
2	2	1	PECH_003282	AN9426
2	2	1	PECH_003286	AN9074
2	2	1	PECH_003287	AN9072
2	2	1	PECH_003288	AN9064
2	2	1	PECH_003289	AN9066
2	2	1	PECH_003290	AN9067
2	2	1	PECH_003291	AN9068
2	2	1	PECH_003294	AN5892
2	2	1	PECH_003296	AN5895
2	2	1	PECH_003297	AN5897
2	2	1	PECH_003298	AN5898
2	2	1	PECH_003300	AN5899
2	2	1	PECH_003302	AN5902
2	2	1	PECH_003303	AN5901
2	2	1	PECH_003304	AN5900
2	2	1	PECH_003305	AN5903
2	2	1	PECH_003306	AN5904
2	2	1	PECH_003307	AN5906
2	2	1	PECH_003310	AN2567
2	2	1	PECH_003311	AN3862
2	2	1	PECH_003312	AN10479
2	2	1	PECH_003313	AN9393
2	2	1	PECH_003314	AN2145
2	2	1	PECH_003315	AN9392
2	2	1	PECH_003316	AN12386
2	2	1	PECH_003317	AN9394
2	2	1	PECH_003318	AN9395
2	2	1	PECH_003321	AN6207
2	2	1	PECH_003325	AN10779
2	2	1	PECH_003326	AN6203
2	2	1	PECH_003327	AN6202
2	2	1	PECH_003328	AN12054
2	2	1	PECH_003329	AN8787
2	2	1	PECH_003330	AN8790
2	2	1	PECH_003331	AN8791
2	2	1	PECH_003332	AN11067
2	2	1	PECH_003333	AN8261
2	2	1	PECH_003334	AN8262
2	2	1	PECH_003335	AN8263
2	2	1	PECH_003336	AN8264
2	2	1	PECH_003337	AN8267
2	2	1	PECH_003338	AN8268
2	2	1	PECH_003339	AN8269
2	2	1	PECH_003341	AN6823
2	2	1	PECH_003342	AN6824
2	2	1	PECH_003343	AN6825
2	2	1	PECH_003344	AN6826
2	2	1	PECH_003345	AN6827
2	2	1	PECH_003346	AN6828
2	2	1	PECH_003347	AN1802
2	2	1	PECH_003348	AN0034
2	2	1	PECH_003349	AN10008
2	2	1	PECH_003350	AN10002
2	2	1	PECH_003351	AN0038
2	2	1	PECH_003352	AN0039
2	2	1	PECH_003353	AN0040
2	2	1	PECH_003354	AN0042
2	2	1	PECH_003355	AN0043
2	2	1	PECH_003356	AN0044
2	2	1	PECH_003358	AN10003
2	2	1	PECH_003359	AN10007
2	2	1	PECH_003360	AN0048
2	2	1	PECH_003361	AN0049
2	2	1	PECH_003362	AN0056
2	2	1	PECH_003363	AN0055
2	2	1	PECH_003364	AN0054
2	2	1	PECH_003366	AN7367
2	2	1	PECH_003367	AN0053
2	2	1	PECH_000057	AN8854
2	2	1	PECH_003369	AN0052
2	2	1	PECH_003370	AN0051
2	2	1	PECH_003372	AN0050
2	2	1	PECH_003373	AN12269
2	2	1	PECH_003374	AN0059
2	2	1	PECH_003375	AN10012
2	2	1	PECH_003379	AN10010
2	2	1	PECH_003380	AN0061
2	2	1	PECH_003381	AN0062
2	2	1	PECH_003382	AN0063
2	2	1	PECH_003383	AN0064
2	2	1	PECH_003384	AN0065
2	2	1	PECH_003385	AN0066
2	2	1	PECH_003387	AN0085
2	2	1	PECH_003388	AN0084
2	2	1	PECH_003389	AN0083
2	2	1	PECH_003390	AN0082
2	2	1	PECH_003391	AN0081
2	2	1	PECH_003393	AN0078
2	2	1	PECH_003394	AN0077
2	2	1	PECH_003395	AN0076
2	2	1	PECH_003396	AN0075
2	2	1	PECH_003398	AN0074
2	2	1	PECH_003399	AN0072
2	2	1	PECH_003400	AN0073
2	2	1	PECH_003401	AN0071
2	2	1	PECH_003402	AN0070
2	2	1	PECH_003403	AN0069
2	2	1	PECH_003404	AN0068
2	2	1	PECH_003405	AN0067
2	2	1	PECH_003408	AN7541
2	2	1	PECH_003411	AN0086
2	2	1	PECH_003412	AN10096
2	2	1	PECH_003413	AN0087
2	2	1	PECH_003414	AN0088
2	2	1	PECH_003415	AN8104
2	2	1	PECH_003416	AN8103
2	2	1	PECH_003418	AN0089
2	2	1	PECH_003419	AN0090
2	2	1	PECH_003420	AN0091
2	2	1	PECH_003421	AN0092
2	2	1	PECH_003422	AN0093
2	2	1	PECH_003423	AN0094
2	2	1	PECH_003424	AN0095
2	2	1	PECH_003425	AN0096
2	2	1	PECH_003426	AN0097
2	2	1	PECH_003427	AN9523
2	2	1	PECH_003428	AN6620
2	2	1	PECH_003429	AN0098
2	2	1	PECH_003431	AN12227
2	2	1	PECH_003432	AN0104
2	2	1	PECH_003433	AN0105
2	2	1	PECH_003434	AN1506
2	2	1	PECH_003435	AN0106
2	2	1	PECH_003436	AN0107
2	2	1	PECH_003437	AN0108
2	2	1	PECH_003439	AN0109
2	2	1	PECH_003440	AN0110
2	2	1	PECH_003441	AN0111
2	2	1	PECH_003442	AN0112
2	2	1	PECH_003443	AN0113
2	2	1	PECH_003444	AN0114
2	2	1	PECH_003446	AN2878
2	2	1	PECH_003448	AN10017
2	2	1	PECH_003449	AN10018
2	2	1	PECH_003450	AN10019
2	2	1	PECH_003451	AN8859
2	2	1	PECH_003453	AN8860
2	2	1	PECH_003454	AN8861
2	2	1	PECH_003455	AN8862
2	2	1	PECH_003456	AN8863
2	2	1	PECH_003457	AN8864
2	2	1	PECH_003459	AN8865
2	2	1	PECH_003460	AN8866
2	2	1	PECH_003461	AN8867
2	2	1	PECH_003462	AN8868
2	2	1	PECH_003463	AN11130
2	2	1	PECH_003464	AN8869
2	2	1	PECH_003465	AN11131
2	2	1	PECH_003466	AN8870
2	2	1	PECH_000056	AN8855
2	2	1	PECH_003469	AN6518
2	2	1	PECH_003470	AN3355
2	2	1	PECH_003471	AN12100
2	2	1	PECH_003473	AN4669
2	2	1	PECH_003474	AN4670
2	2	1	PECH_003475	AN4671
2	2	1	PECH_003476	AN4672
2	2	1	PECH_003479	AN7938
2	2	1	PECH_003480	AN5414
2	2	1	PECH_003482	AN4674
2	2	1	PECH_003486	AN4678
2	2	1	PECH_003487	AN4680
2	2	1	PECH_003488	AN4682
2	2	1	PECH_003489	AN4683
2	2	1	PECH_003490	AN11975
2	2	1	PECH_003491	AN4684
2	2	1	PECH_003492	AN2278
2	2	1	PECH_003493	AN2277
2	2	1	PECH_003494	AN2276
2	2	1	PECH_003495	AN2275
2	2	1	PECH_003496	AN2274
2	2	1	PECH_003497	AN2273
2	2	1	PECH_003498	AN2272
2	2	1	PECH_003499	AN2271
2	2	1	PECH_003500	AN12338
2	2	1	PECH_003501	AN2270
2	2	1	PECH_003503	AN2269
2	2	1	PECH_003504	AN2268
2	2	1	PECH_003505	AN2267
2	2	1	PECH_003506	AN2266
2	2	1	PECH_003507	AN8995
2	2	1	PECH_003508	AN1601
2	2	1	PECH_000055	AN8856
2	2	1	PECH_003512	AN8558
2	2	1	PECH_003515	AN8655
2	2	1	PECH_003518	AN7877
2	2	1	PECH_003519	AN0230
2	2	1	PECH_003521	AN3880
2	2	1	PECH_003524	AN9375
2	2	1	PECH_003525	AN5401
2	2	1	PECH_003526	AN3776
2	2	1	PECH_003528	AN2227
2	2	1	PECH_003529	AN3758
2	2	1	PECH_003530	AN8026
2	2	1	PECH_003532	AN10299
2	2	1	PECH_003533	AN5191
2	2	1	PECH_003534	AN8837
2	2	1	PECH_003535	AN5223
2	2	1	PECH_003536	AN8766
2	2	1	PECH_003537	AN3577
2	2	1	PECH_003538	AN6742
2	2	1	PECH_003539	AN11903
2	2	1	PECH_003540	AN11904
2	2	1	PECH_003541	AN6745
2	2	1	PECH_003542	AN6744
2	2	1	PECH_003543	AN2510
2	2	1	PECH_003544	AN2511
2	2	1	PECH_003545	AN10315
2	2	1	PECH_003546	AN1480
2	2	1	PECH_003549	AN0272
2	2	1	PECH_003551	AN10172
2	2	1	PECH_003552	AN1397
2	2	1	PECH_003553	AN10056
2	2	1	PECH_003554	AN9498
2	2	1	PECH_003555	AN0936
2	2	1	PECH_003556	AN0840
2	2	1	PECH_003557	AN0842
2	2	1	PECH_003558	AN0843
2	2	1	PECH_003559	AN0844
2	2	1	PECH_003560	AN0846
2	2	1	PECH_003561	AN10259
2	2	1	PECH_003562	AN0847
2	2	1	PECH_003567	AN3843
2	2	1	PECH_003568	AN3844
2	2	1	PECH_003569	AN3832
2	2	1	PECH_003570	AN10477
2	2	1	PECH_003571	AN3830
2	2	1	PECH_003572	AN3831
2	2	1	PECH_003577	AN10050
2	2	1	PECH_003578	AN0282
2	2	1	PECH_003579	AN0281
2	2	1	PECH_003580	AN0267
2	2	1	PECH_003581	AN0268
2	2	1	PECH_003582	AN10031
2	2	1	PECH_003583	AN0270
2	2	1	PECH_003586	AN4355
2	2	1	PECH_003595	AN8401
2	2	1	PECH_003597	AN0013
2	2	1	PECH_003598	AN9287
2	2	1	PECH_003602	AN5846
2	2	1	PECH_000054	AN11136
2	2	1	PECH_003604	AN4689
2	2	1	PECH_003607	AN4690
2	2	1	PECH_003608	AN4691
2	2	1	PECH_003609	AN10588
2	2	1	PECH_003610	AN10580
2	2	1	PECH_003611	AN4694
2	2	1	PECH_003612	AN2296
2	2	1	PECH_003613	AN6746
2	2	1	PECH_003614	AN6747
2	2	1	PECH_003615	AN10483
2	2	1	PECH_003616	AN6751
2	2	1	PECH_003617	AN7147
2	2	1	PECH_003618	AN6752
2	2	1	PECH_003619	AN9173
2	2	1	PECH_003620	AN4148
2	2	1	PECH_003621	AN2011
2	2	1	PECH_003623	AN2015
2	2	1	PECH_003625	AN1997
2	2	1	PECH_003626	AN11378
2	2	1	PECH_003627	AN6151
2	2	1	PECH_003629	AN10793
2	2	1	PECH_003632	AN6230
2	2	1	PECH_003633	AN6231
2	2	1	PECH_003634	AN4727
2	2	1	PECH_003635	AN4726
2	2	1	PECH_003636	AN4725
2	2	1	PECH_003639	AN4721
2	2	1	PECH_003640	AN4723
2	2	1	PECH_003641	AN4724
2	2	1	PECH_003642	AN0237
2	2	1	PECH_003644	AN10029
2	2	1	PECH_003647	AN6913
2	2	1	PECH_003648	AN6912
2	2	1	PECH_003649	AN6911
2	2	1	PECH_003651	AN6909
2	2	1	PECH_003652	AN6908
2	2	1	PECH_003655	AN12408
2	2	1	PECH_003656	AN11250
2	2	1	PECH_003657	AN10856
2	2	1	PECH_003658	AN10858
2	2	1	PECH_003659	AN6906
2	2	1	PECH_003660	AN6905
2	2	1	PECH_003661	AN6904
2	2	1	PECH_003662	AN6903
2	2	1	PECH_003663	AN6902
2	2	1	PECH_003664	AN6901
2	2	1	PECH_003665	AN6900
2	2	1	PECH_003667	AN6898
2	2	1	PECH_003668	AN6897
2	2	1	PECH_003669	AN8477
2	2	1	PECH_003670	AN6896
2	2	1	PECH_003671	AN6893
2	2	1	PECH_003672	AN3768
2	2	1	PECH_003673	AN6894
2	2	1	PECH_003674	AN6892
2	2	1	PECH_003675	AN6891
2	2	1	PECH_003676	AN6890
2	2	1	PECH_003677	AN6889
2	2	1	PECH_000053	AN8857
2	2	1	PECH_003679	AN6886
2	2	1	PECH_003680	AN6412
2	2	1	PECH_003683	AN6887
2	2	1	PECH_003685	AN11989
2	2	1	PECH_003687	AN1204
2	2	1	PECH_003688	AN2823
2	2	1	PECH_003689	AN7232
2	2	1	PECH_003691	AN6880
2	2	1	PECH_003692	AN6879
2	2	1	PECH_003693	AN6878
2	2	1	PECH_003694	AN6874
2	2	1	PECH_003695	AN6875
2	2	1	PECH_003697	AN6869
2	2	1	PECH_003698	AN6871
2	2	1	PECH_003699	AN6870
2	2	1	PECH_000052	AN8858
2	2	1	PECH_003705	AN6853
2	2	1	PECH_003706	AN10855
2	2	1	PECH_003707	AN6854
2	2	1	PECH_003708	AN6864
2	2	1	PECH_003709	AN6863
2	2	1	PECH_003712	AN5318
2	2	1	PECH_003713	AN6859
2	2	1	PECH_003714	AN6858
2	2	1	PECH_003715	AN6857
2	2	1	PECH_003716	AN6856
2	2	1	PECH_003718	AN10857
2	2	1	PECH_003719	AN6865
2	2	1	PECH_003720	AN6866
2	2	1	PECH_003721	AN6867
2	2	1	PECH_003722	AN6868
2	2	1	PECH_003723	AN3379
2	2	1	PECH_003724	AN10854
2	2	1	PECH_003727	AN6849
2	2	1	PECH_003729	AN6847
2	2	1	PECH_003730	AN6844
2	2	1	PECH_003731	AN6843
2	2	1	PECH_003732	AN6842
2	2	1	PECH_003733	AN6841
2	2	1	PECH_003734	AN7959
2	2	1	PECH_003738	AN8527
2	2	1	PECH_003744	AN6525
2	2	1	PECH_003748	AN6523
2	2	1	PECH_003749	AN6522
2	2	1	PECH_003757	AN1433
2	2	1	PECH_003758	AN1432
2	2	1	PECH_003760	AN1422
2	2	1	PECH_003761	AN1421
2	2	1	PECH_003762	AN1420
2	2	1	PECH_003763	AN1423
2	2	1	PECH_003764	AN1001
2	2	1	PECH_003765	AN1000
2	2	1	PECH_003766	AN1002
2	2	1	PECH_003767	AN1003
2	2	1	PECH_003768	AN1004
2	2	1	PECH_003769	AN1005
2	2	1	PECH_003771	AN8553
2	2	1	PECH_003772	AN1006
2	2	1	PECH_003774	AN1007
2	2	1	PECH_003776	AN4883
2	2	1	PECH_003777	AN4881
2	2	1	PECH_003778	AN4880
2	2	1	PECH_003779	AN4989
2	2	1	PECH_003780	AN4988
2	2	1	PECH_003781	AN4987
2	2	1	PECH_003782	AN4986
2	2	1	PECH_003783	AN4985
2	2	1	PECH_003785	AN4984
2	2	1	PECH_003786	AN5767
2	2	1	PECH_003787	AN5768
2	2	1	PECH_003789	AN10724
2	2	1	PECH_003797	AN7040
2	2	1	PECH_003798	AN8086
2	2	1	PECH_003799	AN0929
2	2	1	PECH_003800	AN0927
2	2	1	PECH_003804	AN9014
2	2	1	PECH_003805	AN0189
2	2	1	PECH_003806	AN0190
2	2	1	PECH_003808	AN0191
2	2	1	PECH_003809	AN0192
2	2	1	PECH_003811	AN0193
2	2	1	PECH_003812	AN0172
2	2	1	PECH_003815	AN7937
2	2	1	PECH_003817	AN1376
2	2	1	PECH_003818	AN1377
2	2	1	PECH_003819	AN1378
2	2	1	PECH_003820	AN1375
2	2	1	PECH_003821	AN1374
2	2	1	PECH_003822	AN7748
2	2	1	PECH_003823	AN11008
2	2	1	PECH_003825	AN11022
2	2	1	PECH_003827	AN7752
2	2	1	PECH_003828	AN7753
2	2	1	PECH_003829	AN7754
2	2	1	PECH_003830	AN7755
2	2	1	PECH_003831	AN7757
2	2	1	PECH_003832	AN7758
2	2	1	PECH_003836	AN7760
2	2	1	PECH_003837	AN7761
2	2	1	PECH_003839	AN12084
2	2	1	PECH_003842	AN11023
2	2	1	PECH_003844	AN11009
2	2	1	PECH_003845	AN7764
2	2	1	PECH_003846	AN3378
2	2	1	PECH_003848	AN3489
2	2	1	PECH_003850	AN5418
2	2	1	PECH_003851	AN4738
2	2	1	PECH_003852	AN7771
2	2	1	PECH_003853	AN7770
2	2	1	PECH_003855	AN7785
2	2	1	PECH_003856	AN11010
2	2	1	PECH_003857	AN7783
2	2	1	PECH_003858	AN3951
2	2	1	PECH_003859	AN7631
2	2	1	PECH_003861	AN7630
2	2	1	PECH_003862	AN7629
2	2	1	PECH_003863	AN7628
2	2	1	PECH_003864	AN7641
2	2	1	PECH_003865	AN10987
2	2	1	PECH_003866	AN10975
2	2	1	PECH_003867	AN7622
2	2	1	PECH_003869	AN7202
2	2	1	PECH_003870	AN2208
2	2	1	PECH_003871	AN2209
2	2	1	PECH_003872	AN2210
2	2	1	PECH_003873	AN2211
2	2	1	PECH_003874	AN2212
2	2	1	PECH_003875	AN2213
2	2	1	PECH_003876	AN2214
2	2	1	PECH_003877	AN2218
2	2	1	PECH_003879	AN2217
2	2	1	PECH_003880	AN2216
2	2	1	PECH_003881	AN2215
2	2	1	PECH_003883	AN8571
2	2	1	PECH_003885	AN2219
2	2	1	PECH_003888	AN12475
2	2	1	PECH_003889	AN2222
2	2	1	PECH_003890	AN2223
2	2	1	PECH_003891	AN2224
2	2	1	PECH_003892	AN6820
2	2	1	PECH_003893	AN2225
2	2	1	PECH_003894	AN2226
2	2	1	PECH_003896	AN2229
2	2	1	PECH_000050	AN2995
2	2	1	PECH_003898	AN2231
2	2	1	PECH_003899	AN2233
2	2	1	PECH_003900	AN2234
2	2	1	PECH_003901	AN2235
2	2	1	PECH_003902	AN10283
2	2	1	PECH_003903	AN10278
2	2	1	PECH_003904	AN2236
2	2	1	PECH_000049	AN2994
2	2	1	PECH_003906	AN8404
2	2	1	PECH_003910	AN2281
2	2	1	PECH_003911	AN2280
2	2	1	PECH_003912	AN2279
2	2	1	PECH_003915	AN0202
2	2	1	PECH_003917	AN0203
2	2	1	PECH_003918	AN0204
2	2	1	PECH_003919	AN0205
2	2	1	PECH_003920	AN0206
2	2	1	PECH_003921	AN0210
2	2	1	PECH_003922	AN0211
2	2	1	PECH_003923	AN8603
2	2	1	PECH_003926	AN3496
2	2	1	PECH_003928	AN6985
2	2	1	PECH_003929	AN6986
2	2	1	PECH_003930	AN6988
2	2	1	PECH_003931	AN10872
2	2	1	PECH_003932	AN10877
2	2	1	PECH_003933	AN10878
2	2	1	PECH_003934	AN10873
2	2	1	PECH_003935	AN10874
2	2	1	PECH_003936	AN4853
2	2	1	PECH_003939	AN4840
2	2	1	PECH_003941	AN4839
2	2	1	PECH_003942	AN4838
2	2	1	PECH_003944	AN8389
2	2	1	PECH_003946	AN1795
2	2	1	PECH_003947	AN3360
2	2	1	PECH_003949	AN3301
2	2	1	PECH_003950	AN1796
2	2	1	PECH_003953	AN8781
2	2	1	PECH_003954	AN3203
2	2	1	PECH_003955	AN8786
2	2	1	PECH_003956	AN8785
2	2	1	PECH_003957	AN8784
2	2	1	PECH_003958	AN8783
2	2	1	PECH_003959	AN8782
2	2	1	PECH_003960	AN0848
2	2	1	PECH_003961	AN0849
2	2	1	PECH_003962	AN0850
2	2	1	PECH_003963	AN0851
2	2	1	PECH_003964	AN0854
2	2	1	PECH_003965	AN0855
2	2	1	PECH_003966	AN0856
2	2	1	PECH_003967	AN4685
2	2	1	PECH_003968	AN8384
2	2	1	PECH_003969	AN4687
2	2	1	PECH_003970	AN4688
2	2	1	PECH_003976	AN10115
2	2	1	PECH_003977	AN0720
2	2	1	PECH_003978	AN0719
2	2	1	PECH_003980	AN10117
2	2	1	PECH_003981	AN0714
2	2	1	PECH_003982	AN0715
2	2	1	PECH_003983	AN0716
2	2	1	PECH_003984	AN0717
2	2	1	PECH_003985	AN0751
2	2	1	PECH_003986	AN0752
2	2	1	PECH_003987	AN0753
2	2	1	PECH_003989	AN0755
