# Species	Genes	Alg.-Conn.	Pucsensis_2HH.fasta	Ncrassa_OR74A_v.12.fasta
2	2	1	PECH_003297	NCU05287
2	2	1	PECH_003298	NCU11372
2	2	1	PECH_003300	NCU07679
2	2	1	PECH_003302	NCU16845
2	2	1	PECH_003303	NCU06322
2	2	1	PECH_003304	NCU07672
2	2	1	PECH_003305	NCU06345
2	2	1	PECH_003307	NCU10270
2	2	1	PECH_003309	NCU01838
2	2	1	PECH_003311	NCU08060
2	2	1	PECH_003312	NCU08062
2	2	1	PECH_003313	NCU08425
2	2	1	PECH_003315	NCU06159
2	2	1	PECH_003316	NCU08146
2	2	1	PECH_003317	NCU08145
2	2	1	PECH_003318	NCU08136
2	2	1	PECH_003321	NCU06760
2	2	1	PECH_003326	NCU06844
2	2	1	PECH_003327	NCU06843
2	2	1	PECH_003328	NCU06842
2	2	1	PECH_003329	NCU00134
2	2	1	PECH_003330	NCU11353
2	2	1	PECH_003331	NCU07879
2	2	1	PECH_003332	NCU00203
2	2	1	PECH_003333	NCU07580
2	2	1	PECH_003334	NCU04626
2	2	1	PECH_003335	NCU07571
2	2	1	PECH_003337	NCU07747
2	2	1	PECH_003338	NCU07574
2	2	1	PECH_003339	NCU04142
2	2	1	PECH_003342	NCU03741
2	2	1	PECH_003343	NCU08874
2	2	1	PECH_003344	NCU03598
2	2	1	PECH_003345	NCU01460
2	2	1	PECH_003346	NCU01461
2	2	1	PECH_003347	NCU03778
2	2	1	PECH_003348	NCU03779
2	2	1	PECH_003349	NCU00272
2	2	1	PECH_003350	NCU00273
2	2	1	PECH_003351	NCU00274
2	2	1	PECH_003352	NCU11098
2	2	1	PECH_003353	NCU00276
2	2	1	PECH_003354	NCU07816
2	2	1	PECH_003355	NCU09517
2	2	1	PECH_003356	NCU09516
2	2	1	PECH_003358	NCU09513
2	2	1	PECH_003359	NCU09512
2	2	1	PECH_003361	NCU09510
2	2	1	PECH_003362	NCU09514
2	2	1	PECH_003363	NCU00848
2	2	1	PECH_003365	NCU00790
2	2	1	PECH_003366	NCU05387
2	2	1	PECH_003367	NCU09509
2	2	1	PECH_003368	NCU05143
2	2	1	PECH_003369	NCU05094
2	2	1	PECH_003370	NCU06416
2	2	1	PECH_003372	NCU06417
2	2	1	PECH_003375	NCU06424
2	2	1	PECH_003379	NCU07889
2	2	1	PECH_003380	NCU07888
2	2	1	PECH_003382	NCU00182
2	2	1	PECH_003383	NCU08787
2	2	1	PECH_003384	NCU07885
2	2	1	PECH_003385	NCU07884
2	2	1	PECH_003388	NCU00443
2	2	1	PECH_003389	NCU00444
2	2	1	PECH_003390	NCU00441
2	2	1	PECH_003391	NCU00440
2	2	1	PECH_003393	NCU01252
2	2	1	PECH_003394	NCU01364
2	2	1	PECH_003395	NCU03662
2	2	1	PECH_003396	NCU03739
2	2	1	PECH_003398	NCU01257
2	2	1	PECH_003399	NCU04153
2	2	1	PECH_003401	NCU00432
2	2	1	PECH_003402	NCU05692
2	2	1	PECH_003403	NCU09162
2	2	1	PECH_003404	NCU07886
2	2	1	PECH_003405	NCU07887
2	2	1	PECH_003410	NCU04194
2	2	1	PECH_003411	NCU05680
2	2	1	PECH_003412	NCU09154
2	2	1	PECH_003413	NCU07876
2	2	1	PECH_003414	NCU03710
2	2	1	PECH_003416	NCU12126
2	2	1	PECH_003418	NCU03711
2	2	1	PECH_003419	NCU06267
2	2	1	PECH_003420	NCU06266
2	2	1	PECH_003421	NCU03669
2	2	1	PECH_003422	NCU06271
2	2	1	PECH_003426	NCU06264
2	2	1	PECH_003427	NCU06273
2	2	1	PECH_003428	NCU04431
2	2	1	PECH_003429	NCU08294
2	2	1	PECH_003430	NCU08301
2	2	1	PECH_003431	NCU08302
2	2	1	PECH_003432	NCU06552
2	2	1	PECH_003433	NCU06553
2	2	1	PECH_003434	NCU03468
2	2	1	PECH_003435	NCU06544
2	2	1	PECH_003437	NCU07004
2	2	1	PECH_003439	NCU08034
2	2	1	PECH_003440	NCU08035
2	2	1	PECH_003441	NCU08036
2	2	1	PECH_003442	NCU08023
2	2	1	PECH_003443	NCU06579
2	2	1	PECH_003444	NCU01570
2	2	1	PECH_000067	NCU06198
2	2	1	PECH_003448	NCU01569
2	2	1	PECH_003449	NCU01568
2	2	1	PECH_003450	NCU04335
2	2	1	PECH_003451	NCU04118
2	2	1	PECH_003452	NCU01442
2	2	1	PECH_003453	NCU10220
2	2	1	PECH_003454	NCU01441
2	2	1	PECH_003455	NCU01440
2	2	1	PECH_003456	NCU01438
2	2	1	PECH_003457	NCU10143
2	2	1	PECH_003459	NCU01435
2	2	1	PECH_003460	NCU01439
2	2	1	PECH_003461	NCU01443
2	2	1	PECH_003462	NCU01444
2	2	1	PECH_003463	NCU01445
2	2	1	PECH_003464	NCU01446
2	2	1	PECH_003465	NCU01447
2	2	1	PECH_003466	NCU01452
2	2	1	PECH_003471	NCU02920
2	2	1	PECH_003473	NCU09211
2	2	1	PECH_003474	NCU09208
2	2	1	PECH_003476	NCU00662
2	2	1	PECH_003482	NCU06981
2	2	1	PECH_003486	NCU01936
2	2	1	PECH_003488	NCU00670
2	2	1	PECH_003489	NCU00669
2	2	1	PECH_003490	NCU02149
2	2	1	PECH_003491	NCU02148
2	2	1	PECH_003492	NCU06488
2	2	1	PECH_003493	NCU01068
2	2	1	PECH_003495	NCU00413
2	2	1	PECH_003496	NCU00412
2	2	1	PECH_003497	NCU00411
2	2	1	PECH_003498	NCU00414
2	2	1	PECH_003499	NCU00415
2	2	1	PECH_003500	NCU00416
2	2	1	PECH_003501	NCU04848
2	2	1	PECH_003503	NCU06182
2	2	1	PECH_003504	NCU04171
2	2	1	PECH_003505	NCU01180
2	2	1	PECH_003506	NCU06183
2	2	1	PECH_003510	NCU05060
2	2	1	PECH_003524	NCU01057
2	2	1	PECH_003526	NCU09654
2	2	1	PECH_000065	NCU09008
2	2	1	PECH_003529	NCU03296
2	2	1	PECH_003532	NCU08275
2	2	1	PECH_003533	NCU09886
2	2	1	PECH_003534	NCU07742
2	2	1	PECH_003536	NCU03147
2	2	1	PECH_003537	NCU02734
2	2	1	PECH_003538	NCU07737
2	2	1	PECH_003539	NCU01000
2	2	1	PECH_003543	NCU01338
2	2	1	PECH_003544	NCU05781
2	2	1	PECH_003545	NCU05927
2	2	1	PECH_003546	NCU03850
2	2	1	PECH_003547	NCU10292
2	2	1	PECH_003549	NCU00513
2	2	1	PECH_003551	NCU04837
2	2	1	PECH_003553	NCU00789
2	2	1	PECH_003554	NCU08664
2	2	1	PECH_003555	NCU03129
2	2	1	PECH_003556	NCU02010
2	2	1	PECH_003557	NCU00239
2	2	1	PECH_003558	NCU09475
2	2	1	PECH_003559	NCU09488
2	2	1	PECH_003561	NCU04089
2	2	1	PECH_003562	NCU09485
2	2	1	PECH_003567	NCU00894
2	2	1	PECH_003569	NCU02955
2	2	1	PECH_003571	NCU02450
2	2	1	PECH_003577	NCU11260
2	2	1	PECH_003579	NCU03237
2	2	1	PECH_003580	NCU00171
2	2	1	PECH_003581	NCU00172
2	2	1	PECH_003582	NCU00270
2	2	1	PECH_003583	NCU10351
2	2	1	PECH_003586	NCU06471
2	2	1	PECH_000064	NCU09000
2	2	1	PECH_003593	NCU04340
2	2	1	PECH_003594	NCU09924
2	2	1	PECH_003595	NCU09923
2	2	1	PECH_003596	NCU09652
2	2	1	PECH_003598	NCU03322
2	2	1	PECH_000062	NCU01290
2	2	1	PECH_003607	NCU00591
2	2	1	PECH_003608	NCU02128
2	2	1	PECH_003609	NCU01891
2	2	1	PECH_003610	NCU10232
2	2	1	PECH_003611	NCU02121
2	2	1	PECH_003612	NCU06701
2	2	1	PECH_003614	NCU02787
2	2	1	PECH_003617	NCU05394
2	2	1	PECH_003619	NCU02188
2	2	1	PECH_003620	NCU01132
2	2	1	PECH_003621	NCU03592
2	2	1	PECH_003623	NCU02213
2	2	1	PECH_003625	NCU03975
2	2	1	PECH_003629	NCU07042
2	2	1	PECH_003632	NCU07617
2	2	1	PECH_000061	NCU01296
2	2	1	PECH_003634	NCU04442
2	2	1	PECH_003635	NCU06369
2	2	1	PECH_003636	NCU06368
2	2	1	PECH_003639	NCU06318
2	2	1	PECH_003640	NCU06371
2	2	1	PECH_003641	NCU08312
2	2	1	PECH_003642	NCU16779
2	2	1	PECH_003644	NCU07685
2	2	1	PECH_003647	NCU01457
2	2	1	PECH_003649	NCU06268
2	2	1	PECH_003650	NCU03712
2	2	1	PECH_003652	NCU06269
2	2	1	PECH_003655	NCU01470
2	2	1	PECH_003656	NCU04155
2	2	1	PECH_003657	NCU06278
2	2	1	PECH_003659	NCU11357
2	2	1	PECH_003661	NCU07549
2	2	1	PECH_003662	NCU07548
2	2	1	PECH_003663	NCU07547
2	2	1	PECH_003664	NCU07824
2	2	1	PECH_003665	NCU07550
2	2	1	PECH_003667	NCU00435
2	2	1	PECH_003668	NCU00436
2	2	1	PECH_003670	NCU09503
2	2	1	PECH_003671	NCU00427
2	2	1	PECH_003673	NCU00181
2	2	1	PECH_003674	NCU00434
2	2	1	PECH_003676	NCU02846
2	2	1	PECH_003677	NCU00445
2	2	1	PECH_000060	NCU06180
2	2	1	PECH_003679	NCU00007
2	2	1	PECH_000059	NCU00409
2	2	1	PECH_003685	NCU05038
2	2	1	PECH_000058	NCU00410
2	2	1	PECH_003691	NCU03546
2	2	1	PECH_003692	NCU16534
2	2	1	PECH_003694	NCU03503
2	2	1	PECH_003695	NCU06832
2	2	1	PECH_003697	NCU01348
2	2	1	PECH_003699	NCU04672
2	2	1	PECH_003705	NCU03596
2	2	1	PECH_003706	NCU03597
2	2	1	PECH_003707	NCU08873
2	2	1	PECH_003708	NCU01468
2	2	1	PECH_003709	NCU03715
2	2	1	PECH_003711	NCU05201
2	2	1	PECH_003714	NCU09529
2	2	1	PECH_003716	NCU02596
2	2	1	PECH_003719	NCU07726
2	2	1	PECH_003720	NCU07725
2	2	1	PECH_003721	NCU07724
2	2	1	PECH_003724	NCU01471
2	2	1	PECH_003730	NCU03777
2	2	1	PECH_003731	NCU01474
2	2	1	PECH_003732	NCU01473
2	2	1	PECH_003734	NCU07120
2	2	1	PECH_003738	NCU01521
2	2	1	PECH_003744	NCU03813
2	2	1	PECH_003748	NCU01431
2	2	1	PECH_003749	NCU04149
2	2	1	PECH_003754	NCU05788
2	2	1	PECH_003757	NCU00761
2	2	1	PECH_003758	NCU02678
2	2	1	PECH_003760	NCU05547
2	2	1	PECH_003761	NCU05602
2	2	1	PECH_003762	NCU05589
2	2	1	PECH_003763	NCU06341
2	2	1	PECH_003766	NCU07698
2	2	1	PECH_003767	NCU07697
2	2	1	PECH_003768	NCU05281
2	2	1	PECH_003769	NCU05282
2	2	1	PECH_003771	NCU05169
2	2	1	PECH_003772	NCU05298
2	2	1	PECH_003774	NCU04720
2	2	1	PECH_003776	NCU09706
2	2	1	PECH_003777	NCU02412
2	2	1	PECH_003778	NCU02415
2	2	1	PECH_003779	NCU02390
2	2	1	PECH_003780	NCU03870
2	2	1	PECH_003781	NCU01166
2	2	1	PECH_003782	NCU02176
2	2	1	PECH_003785	NCU07293
2	2	1	PECH_003787	NCU03660
2	2	1	PECH_003789	NCU11237
2	2	1	PECH_003796	NCU07836
2	2	1	PECH_003797	NCU10226
2	2	1	PECH_003799	NCU03176
2	2	1	PECH_003800	NCU03704
2	2	1	PECH_003805	NCU08660
2	2	1	PECH_003806	NCU08032
2	2	1	PECH_003808	NCU08031
2	2	1	PECH_003809	NCU08030
2	2	1	PECH_003811	NCU08029
2	2	1	PECH_003812	NCU05013
2	2	1	PECH_003815	NCU04197
2	2	1	PECH_003817	NCU04699
2	2	1	PECH_003818	NCU03937
2	2	1	PECH_003819	NCU05498
2	2	1	PECH_003820	NCU05979
2	2	1	PECH_003821	NCU04750
2	2	1	PECH_003823	NCU08280
2	2	1	PECH_003824	NCU05164
2	2	1	PECH_003826	NCU08292
2	2	1	PECH_003827	NCU08291
2	2	1	PECH_003828	NCU08290
2	2	1	PECH_003830	NCU01954
2	2	1	PECH_003831	NCU01953
2	2	1	PECH_003836	NCU01883
2	2	1	PECH_003842	NCU00684
2	2	1	PECH_003846	NCU00799
2	2	1	PECH_003850	NCU03019
2	2	1	PECH_003851	NCU04473
2	2	1	PECH_003852	NCU08676
2	2	1	PECH_003853	NCU07958
2	2	1	PECH_003856	NCU00681
2	2	1	PECH_003857	NCU02131
2	2	1	PECH_003859	NCU00677
2	2	1	PECH_003861	NCU02477
2	2	1	PECH_003862	NCU09002
2	2	1	PECH_003863	NCU09001
2	2	1	PECH_003864	NCU05518
2	2	1	PECH_003865	NCU07746
2	2	1	PECH_003866	NCU09527
2	2	1	PECH_003870	NCU08882
2	2	1	PECH_003871	NCU09160
2	2	1	PECH_003872	NCU08920
2	2	1	PECH_003873	NCU01067
2	2	1	PECH_003874	NCU01225
2	2	1	PECH_003875	NCU01224
2	2	1	PECH_003876	NCU06489
2	2	1	PECH_003880	NCU07000
2	2	1	PECH_003881	NCU06999
2	2	1	PECH_003883	NCU05731
2	2	1	PECH_003885	NCU05377
2	2	1	PECH_003888	NCU07735
2	2	1	PECH_003889	NCU07734
2	2	1	PECH_003890	NCU07021
2	2	1	PECH_003891	NCU07020
2	2	1	PECH_003894	NCU07002
2	2	1	PECH_003896	NCU07001
2	2	1	PECH_003899	NCU07019
2	2	1	PECH_003902	NCU09727
2	2	1	PECH_003903	NCU07733
2	2	1	PECH_003904	NCU08844
2	2	1	PECH_003906	NCU06524
2	2	1	PECH_003909	NCU03908
2	2	1	PECH_003910	NCU06175
2	2	1	PECH_003911	NCU06174
2	2	1	PECH_003912	NCU06702
2	2	1	PECH_003915	NCU08658
2	2	1	PECH_003917	NCU11283
2	2	1	PECH_003918	NCU06520
2	2	1	PECH_003919	NCU08661
2	2	1	PECH_003920	NCU11282
2	2	1	PECH_003921	NCU08027
2	2	1	PECH_003922	NCU06622
2	2	1	PECH_003926	NCU04531
2	2	1	PECH_003928	NCU01701
2	2	1	PECH_003929	NCU05360
2	2	1	PECH_003930	NCU05363
2	2	1	PECH_003931	NCU05581
2	2	1	PECH_003932	NCU05582
2	2	1	PECH_003933	NCU05514
2	2	1	PECH_003934	NCU05593
2	2	1	PECH_003935	NCU05592
2	2	1	PECH_003938	NCU04065
2	2	1	PECH_003943	NCU08982
2	2	1	PECH_003945	NCU04532
2	2	1	PECH_003946	NCU03145
2	2	1	PECH_003949	NCU05735
2	2	1	PECH_003950	NCU07483
2	2	1	PECH_003956	NCU01241
2	2	1	PECH_003957	NCU00204
2	2	1	PECH_003958	NCU00205
2	2	1	PECH_003959	NCU00173
2	2	1	PECH_003960	NCU08981
2	2	1	PECH_003962	NCU00167
2	2	1	PECH_003964	NCU03685
2	2	1	PECH_003967	NCU02167
2	2	1	PECH_003969	NCU02127
2	2	1	PECH_003970	NCU02126
2	2	1	PECH_003977	NCU07266
2	2	1	PECH_003978	NCU07992
2	2	1	PECH_003979	NCU07267
2	2	1	PECH_003980	NCU10500
2	2	1	PECH_003981	NCU07265
2	2	1	PECH_003982	NCU06621
2	2	1	PECH_003983	NCU04429
2	2	1	PECH_003984	NCU06360
2	2	1	PECH_003985	NCU05307
2	2	1	PECH_003986	NCU05305
2	2	1	PECH_003987	NCU05304
2	2	1	PECH_003990	NCU01138
2	2	1	PECH_003991	NCU07620
2	2	1	PECH_003993	NCU04468
2	2	1	PECH_003994	NCU00642
2	2	1	PECH_003995	NCU05301
2	2	1	PECH_003996	NCU02549
2	2	1	PECH_003998	NCU03702
2	2	1	PECH_003999	NCU04122
2	2	1	PECH_004000	NCU04124
2	2	1	PECH_004001	NCU04125
2	2	1	PECH_004002	NCU01930
2	2	1	PECH_004003	NCU01931
2	2	1	PECH_004004	NCU01979
2	2	1	PECH_004005	NCU01929
2	2	1	PECH_004006	NCU01928
2	2	1	PECH_004007	NCU05591
2	2	1	PECH_004010	NCU02009
2	2	1	PECH_004011	NCU01904
2	2	1	PECH_004013	NCU09473
2	2	1	PECH_004014	NCU07022
2	2	1	PECH_004016	NCU03703
2	2	1	PECH_004018	NCU01927
2	2	1	PECH_004021	NCU06699
2	2	1	PECH_004022	NCU07523
2	2	1	PECH_004024	NCU11146
2	2	1	PECH_004025	NCU10529
2	2	1	PECH_004033	NCU00153
2	2	1	PECH_004035	NCU03693
2	2	1	PECH_004036	NCU01213
2	2	1	PECH_004038	NCU03138
2	2	1	PECH_004041	NCU04315
2	2	1	PECH_004042	NCU03139
2	2	1	PECH_004043	NCU07067
2	2	1	PECH_004045	NCU03137
2	2	1	PECH_004047	NCU02105
2	2	1	PECH_004049	NCU00734
2	2	1	PECH_004051	NCU03085
2	2	1	PECH_004052	NCU03082
2	2	1	PECH_004054	NCU03319
2	2	1	PECH_004055	NCU03083
2	2	1	PECH_004056	NCU03084
2	2	1	PECH_004058	NCU03077
2	2	1	PECH_004064	NCU07693
2	2	1	PECH_004066	NCU07694
2	2	1	PECH_004067	NCU08299
2	2	1	PECH_004068	NCU08300
2	2	1	PECH_004069	NCU08007
2	2	1	PECH_004072	NCU09233
2	2	1	PECH_004074	NCU07713
2	2	1	PECH_004075	NCU04439
2	2	1	PECH_004078	NCU02730
2	2	1	PECH_004079	NCU09247
2	2	1	PECH_004080	NCU07081
2	2	1	PECH_004081	NCU07082
2	2	1	PECH_004082	NCU01750
2	2	1	PECH_004083	NCU09468
2	2	1	PECH_004084	NCU01277
2	2	1	PECH_004085	NCU00040
2	2	1	PECH_004086	NCU00041
2	2	1	PECH_004087	NCU00042
2	2	1	PECH_004090	NCU00478
2	2	1	PECH_004091	NCU02979
2	2	1	PECH_004093	NCU07414
2	2	1	PECH_004094	NCU07413
2	2	1	PECH_004095	NCU02771
2	2	1	PECH_004099	NCU03024
2	2	1	PECH_004100	NCU07408
2	2	1	PECH_004101	NCU07409
2	2	1	PECH_004103	NCU09317
2	2	1	PECH_004107	NCU16903
2	2	1	PECH_004108	NCU07281
2	2	1	PECH_004109	NCU06959
2	2	1	PECH_004110	NCU07064
2	2	1	PECH_004113	NCU07851
2	2	1	PECH_004114	NCU07880
2	2	1	PECH_000057	NCU06231
2	2	1	PECH_004123	NCU03184
2	2	1	PECH_004124	NCU09860
2	2	1	PECH_004131	NCU03889
2	2	1	PECH_004132	NCU03887
2	2	1	PECH_004133	NCU03886
2	2	1	PECH_004136	NCU04815
2	2	1	PECH_004139	NCU00251
2	2	1	PECH_004140	NCU09778
2	2	1	PECH_004141	NCU09779
2	2	1	PECH_004142	NCU08803
2	2	1	PECH_004143	NCU04018
2	2	1	PECH_004148	NCU05623
2	2	1	PECH_004151	NCU05537
2	2	1	PECH_004152	NCU05499
2	2	1	PECH_004153	NCU01829
2	2	1	PECH_004154	NCU01830
2	2	1	PECH_004155	NCU04713
2	2	1	PECH_004156	NCU04718
2	2	1	PECH_004158	NCU03980
2	2	1	PECH_004159	NCU04017
2	2	1	PECH_004161	NCU03964
2	2	1	PECH_004162	NCU07060
2	2	1	PECH_004167	NCU05937
2	2	1	PECH_004168	NCU05936
2	2	1	PECH_004169	NCU04020
2	2	1	PECH_004171	NCU04817
2	2	1	PECH_004172	NCU04075
2	2	1	PECH_004174	NCU03971
2	2	1	PECH_004175	NCU03968
2	2	1	PECH_004176	NCU09771
2	2	1	PECH_004177	NCU10732
2	2	1	PECH_004178	NCU09873
2	2	1	PECH_004179	NCU02206
2	2	1	PECH_004181	NCU04802
2	2	1	PECH_004183	NCU03972
2	2	1	PECH_004184	NCU03973
2	2	1	PECH_004185	NCU04830
2	2	1	PECH_004188	NCU03892
2	2	1	PECH_004192	NCU04268
2	2	1	PECH_004193	NCU00332
2	2	1	PECH_004196	NCU03100
2	2	1	PECH_004198	NCU09241
2	2	1	PECH_004204	NCU03213
2	2	1	PECH_004205	NCU02852
2	2	1	PECH_004206	NCU09796
2	2	1	PECH_004207	NCU00046
2	2	1	PECH_004208	NCU00043
2	2	1	PECH_004209	NCU11181
2	2	1	PECH_004210	NCU00382
2	2	1	PECH_004214	NCU00083
2	2	1	PECH_004216	NCU09477
2	2	1	PECH_004217	NCU06409
2	2	1	PECH_004218	NCU00495
2	2	1	PECH_004219	NCU00027
2	2	1	PECH_004221	NCU02633
2	2	1	PECH_004222	NCU01065
2	2	1	PECH_004223	NCU03071
2	2	1	PECH_004225	NCU08651
2	2	1	PECH_004228	NCU03264
2	2	1	PECH_004229	NCU00517
2	2	1	PECH_004230	NCU02980
2	2	1	PECH_004231	NCU09808
2	2	1	PECH_004232	NCU10073
2	2	1	PECH_004235	NCU00720
2	2	1	PECH_004237	NCU08094
2	2	1	PECH_004238	NCU02650
2	2	1	PECH_004239	NCU00602
2	2	1	PECH_004242	NCU01967
2	2	1	PECH_004243	NCU01966
2	2	1	PECH_004244	NCU01950
2	2	1	PECH_004245	NCU01951
2	2	1	PECH_004246	NCU02178
2	2	1	PECH_004248	NCU02179
2	2	1	PECH_004249	NCU00554
2	2	1	PECH_004250	NCU02181
2	2	1	PECH_004252	NCU16330
2	2	1	PECH_004255	NCU01914
2	2	1	PECH_004256	NCU02151
2	2	1	PECH_004257	NCU04127
2	2	1	PECH_004260	NCU06556
2	2	1	PECH_004261	NCU01948
2	2	1	PECH_004262	NCU01949
2	2	1	PECH_004263	NCU01971
2	2	1	PECH_004265	NCU01974
2	2	1	PECH_004268	NCU01998
2	2	1	PECH_004270	NCU03861
2	2	1	PECH_004275	NCU06936
2	2	1	PECH_004280	NCU09690
2	2	1	PECH_004286	NCU11129
2	2	1	PECH_004289	NCU01990
2	2	1	PECH_004290	NCU01968
2	2	1	PECH_004296	NCU07053
2	2	1	PECH_004299	NCU07619
2	2	1	PECH_004302	NCU06020
2	2	1	PECH_004303	NCU02137
2	2	1	PECH_004304	NCU03154
2	2	1	PECH_004305	NCU09093
2	2	1	PECH_004306	NCU05212
2	2	1	PECH_004308	NCU09090
2	2	1	PECH_004309	NCU02024
2	2	1	PECH_004312	NCU03033
2	2	1	PECH_004313	NCU04590
2	2	1	PECH_004314	NCU02800
2	2	1	PECH_004317	NCU07379
2	2	1	PECH_004318	NCU07380
2	2	1	PECH_004321	NCU08372
2	2	1	PECH_000056	NCU06227
2	2	1	PECH_004325	NCU00310
2	2	1	PECH_004326	NCU00311
2	2	1	PECH_004327	NCU11402
2	2	1	PECH_004328	NCU03235
2	2	1	PECH_004331	NCU00580
2	2	1	PECH_004333	NCU03797
2	2	1	PECH_004334	NCU03800
2	2	1	PECH_004339	NCU06296
2	2	1	PECH_004344	NCU04252
2	2	1	PECH_004346	NCU07584
2	2	1	PECH_004348	NCU08989
2	2	1	PECH_004349	NCU06238
2	2	1	PECH_004350	NCU06446
2	2	1	PECH_004351	NCU06532
2	2	1	PECH_004352	NCU10106
2	2	1	PECH_004353	NCU10107
2	2	1	PECH_004356	NCU01916
2	2	1	PECH_004357	NCU04633
2	2	1	PECH_004360	NCU00699
2	2	1	PECH_004361	NCU00226
2	2	1	PECH_000055	NCU06226
2	2	1	PECH_004365	NCU00157
2	2	1	PECH_004366	NCU00305
2	2	1	PECH_004368	NCU03221
2	2	1	PECH_004384	NCU00715
2	2	1	PECH_004385	NCU11405
2	2	1	PECH_004390	NCU05861
2	2	1	PECH_004395	NCU07384
2	2	1	PECH_004396	NCU12046
2	2	1	PECH_004397	NCU09803
2	2	1	PECH_004398	NCU02961
2	2	1	PECH_004399	NCU00298
2	2	1	PECH_004401	NCU00944
2	2	1	PECH_004402	NCU02751
2	2	1	PECH_004403	NCU03055
2	2	1	PECH_004404	NCU03093
2	2	1	PECH_004405	NCU03316
2	2	1	PECH_004407	NCU03096
2	2	1	PECH_004411	NCU03542
2	2	1	PECH_004415	NCU00520
2	2	1	PECH_004416	NCU02957
2	2	1	PECH_004419	NCU00632
2	2	1	PECH_004420	NCU03921
2	2	1	PECH_004421	NCU06733
2	2	1	PECH_004424	NCU09216
2	2	1	PECH_004425	NCU02728
2	2	1	PECH_004426	NCU09249
2	2	1	PECH_004428	NCU09248
2	2	1	PECH_004430	NCU05309
2	2	1	PECH_004432	NCU06332
2	2	1	PECH_004433	NCU08009
2	2	1	PECH_004435	NCU06331
2	2	1	PECH_004438	NCU10927
2	2	1	PECH_004439	NCU05278
2	2	1	PECH_004441	NCU05279
2	2	1	PECH_004442	NCU05270
2	2	1	PECH_004445	NCU01419
2	2	1	PECH_004446	NCU07412
2	2	1	PECH_004449	NCU03338
2	2	1	PECH_004452	NCU03466
2	2	1	PECH_004453	NCU02413
2	2	1	PECH_004454	NCU02414
2	2	1	PECH_004455	NCU06882
2	2	1	PECH_004456	NCU02423
2	2	1	PECH_004457	NCU09255
2	2	1	PECH_004458	NCU00504
2	2	1	PECH_004460	NCU00505
2	2	1	PECH_004462	NCU11180
2	2	1	PECH_004464	NCU08719
2	2	1	PECH_004467	NCU08114
2	2	1	PECH_004468	NCU06490
2	2	1	PECH_004470	NCU00945
2	2	1	PECH_004473	NCU05208
2	2	1	PECH_004474	NCU05770
2	2	1	PECH_004475	NCU03087
2	2	1	PECH_004476	NCU02726
2	2	1	PECH_004477	NCU06024
2	2	1	PECH_004478	NCU06026
2	2	1	PECH_004479	NCU06025
2	2	1	PECH_004480	NCU06022
2	2	1	PECH_004481	NCU06023
2	2	1	PECH_004482	NCU06028
2	2	1	PECH_004483	NCU06027
2	2	1	PECH_004484	NCU07688
2	2	1	PECH_004485	NCU09897
2	2	1	PECH_004486	NCU09896
2	2	1	PECH_004487	NCU09895
2	2	1	PECH_004490	NCU07269
2	2	1	PECH_004491	NCU03072
2	2	1	PECH_004493	NCU02657
2	2	1	PECH_004494	NCU02658
2	2	1	PECH_004496	NCU02049
2	2	1	PECH_004498	NCU02967
2	2	1	PECH_004499	NCU02966
2	2	1	PECH_004500	NCU02965
2	2	1	PECH_004502	NCU02963
2	2	1	PECH_004503	NCU09892
2	2	1	PECH_004504	NCU09894
2	2	1	PECH_004506	NCU08880
2	2	1	PECH_004507	NCU02727
2	2	1	PECH_004511	NCU02746
2	2	1	PECH_004512	NCU02968
2	2	1	PECH_004515	NCU07839
2	2	1	PECH_004516	NCU07849
2	2	1	PECH_004517	NCU06071
2	2	1	PECH_004519	NCU07870
2	2	1	PECH_004520	NCU08620
2	2	1	PECH_004521	NCU07852
2	2	1	PECH_004522	NCU07853
2	2	1	PECH_000054	NCU11311
2	2	1	PECH_004529	NCU16844
2	2	1	PECH_004530	NCU06344
2	2	1	PECH_004531	NCU05299
2	2	1	PECH_004532	NCU07319
2	2	1	PECH_004533	NCU07280
2	2	1	PECH_004534	NCU04459
2	2	1	PECH_004535	NCU06960
2	2	1	PECH_004537	NCU07318
2	2	1	PECH_004542	NCU04665
2	2	1	PECH_004544	NCU09315
2	2	1	PECH_004545	NCU03560
2	2	1	PECH_004546	NCU03559
2	2	1	PECH_004549	NCU00590
2	2	1	PECH_004550	NCU08092
2	2	1	PECH_004551	NCU01993
2	2	1	PECH_004552	NCU00618
2	2	1	PECH_004555	NCU09100
2	2	1	PECH_004556	NCU09101
2	2	1	PECH_004559	NCU01866
2	2	1	PECH_004560	NCU01675
2	2	1	PECH_004561	NCU01601
2	2	1	PECH_004563	NCU08807
2	2	1	PECH_004566	NCU05240
2	2	1	PECH_004569	NCU08001
2	2	1	PECH_004570	NCU05196
2	2	1	PECH_004571	NCU05261
2	2	1	PECH_004573	NCU11371
2	2	1	PECH_004574	NCU07674
2	2	1	PECH_004576	NCU04470
2	2	1	PECH_004578	NCU06585
2	2	1	PECH_004579	NCU06615
2	2	1	PECH_004585	NCU04462
2	2	1	PECH_004586	NCU04461
2	2	1	PECH_004588	NCU04460
2	2	1	PECH_000053	NCU00417
2	2	1	PECH_004590	NCU16638
2	2	1	PECH_004591	NCU11370
2	2	1	PECH_004595	NCU05289
2	2	1	PECH_004596	NCU05291
