#TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T000244_2.00	F007_2.00	TS12_2.00	.	.	PDE_07445	PDE_07445	Penicillium_oxalicum	N	AFT	AFT	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T160295_2.00	F138_2.00	TS12_2.00	M08452_2.00	MS31_2.00	PDE_06383	PDE_06383	Penicillium_oxalicum	I	CBF/NF-Y	CBFB_NFYA	1	0.7	MA0313.1	COMPILED	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T162139_2.00	F141_2.00	TS12_2.00	M01898_2.00	MS64_2.00	PDE_02765	PDE_02765	Penicillium_oxalicum	I	CENPB	CENP-B_N	1	0.7	pTH9311	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T162139_2.00	F141_2.00	TS12_2.00	M01899_2.00	MS64_2.00	PDE_02765	PDE_02765	Penicillium_oxalicum	I	CENPB	CENP-B_N	1	0.7	pTH9658	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T163979_2.00	F156_2.00	TS12_2.00	.	.	PDE_00153	PDE_00153	Penicillium_oxalicum	N	Copper fist	Copper-fist	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T163980_2.00	F156_2.00	TS12_2.00	.	.	PDE_04621	PDE_04621	Penicillium_oxalicum	N	Copper fist	Copper-fist	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T163981_2.00	F156_2.00	TS12_2.00	.	.	PDE_08869	PDE_08869	Penicillium_oxalicum	N	Copper fist	Copper-fist	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T175188_2.00	F179_2.00	TS12_2.00	.	.	PDE_09581	PDE_09581	Penicillium_oxalicum	N	EIN3	EIN3	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T180026_2.00	F182_2.00	TS12_2.00	.	.	PDE_00952	PDE_00952	Penicillium_oxalicum	N	FAR1	FAR1	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T180027_2.00	F182_2.00	TS12_2.00	.	.	PDE_04420	PDE_04420	Penicillium_oxalicum	N	FAR1	FAR1	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188265_2.00	F196_2.00	TS12_2.00	M01992_2.00	MS64_2.00	PDE_02308	PDE_02308	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH8896	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188266_2.00	F196_2.00	TS12_2.00	M01005_2.00	MS44_2.00	PDE_04690	PDE_04690	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	ANID_04985	PBM	Nakagawa2013	PBM	Nakagawa	2013	23836653	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00044_2.00	MS01_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	HCM1_2157	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00160_2.00	MS02_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxj3_0982	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00163_2.00	MS02_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxk1_2323	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00790_2.00	MS17_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH3043	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00791_2.00	MS17_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH2846	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M00796_2.00	MS17_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH3796	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01977_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6108	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01978_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH5501	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01980_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6638	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01981_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6591	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01985_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6729	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01987_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6497	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01988_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH6641	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01991_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH9655	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M01992_2.00	MS64_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	pTH8896	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M02736_2.00	MS32_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_dimer	SELEX	Jolma2010	SELEX	Jolma	2010	20378718	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M02737_2.00	MS32_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_monomer	SELEX	Jolma2010	SELEX	Jolma	2010	20378718	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03016_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03017_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03018_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03025_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXK1_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03026_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03027_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03032_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXG1_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03033_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXG1_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03036_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03037_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03038_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03046_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03047_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03048_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03052_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxg1_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03053_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxg1_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03054_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxg1_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03055_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxj3_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03056_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxj3_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03057_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxj3_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03058_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxj3_4	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03061_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxk1_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03062_2.00	MS33_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	Foxk1_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M03738_2.00	MS45_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	slp2_1	SELEX	Nitta2015	SELEX	Nitta	2015	25779349	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04809_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04810_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04825_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXK1_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04826_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXK1_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04827_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04828_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04829_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_FL_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04830_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_FL_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04839_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXG1_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04840_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXG1_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04841_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_eDBD_HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04842_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_eDBD_HT-SELEX_2	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04843_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_eDBD_Methyl-HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04844_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXC2_eDBD_Methyl-HT-SELEX_2	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04859_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M04860_2.00	MS62_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M06196_2.00	MS19_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	slp2_SANGER_5_FBgn0004567	B1H	FlyFactorSurvey	B1H	Zhu	2011	21097781	July 2012	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M07473_2.00	MS31_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	MA0317.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M08118_2.00	MS31_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	MA1103.1	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M08120_2.00	MS31_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	MA0852.2	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M08554_2.00	MS13_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	YCR065W_570	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09084_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_HUMAN.H11MO.0.C	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09094_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXK1_HUMAN.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09095_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_HUMAN.H11MO.0.B	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09098_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_HUMAN.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09100_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ2_MOUSE.H11MO.0.C	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09102_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXJ3_MOUSE.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T188267_2.00	F196_2.00	TS12_2.00	M09109_2.00	MS27_2.00	PDE_05162	PDE_05162	Penicillium_oxalicum	I	Forkhead	Forkhead	1	0.663506654180558	FOXI1_MOUSE.H11MO.0.B	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
